paper_id,paper_title,authors,journal,year,doi,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,specific_gravity,mean_particle_um,specific_surface,bet_surface,blaine,wb_ratio,burn_temp_c,burn_duration,grind_duration,pozzolanic_reactivity,activation_method,mineralogy,processing_method,reported_optimum_pct,empirical_optimum_pct,n_measurements,aggregate_replacement_suspect
17,The study of using rice husk ash to produce ultra high performance concrete,"Nguyen Van Tuan, Guang Ye, Klaas van Breugel, Alex L.A. Fraaij, Bui Danh Dai",Construction and Building Materials,2011,10.1016/j.conbuildmat.2010.11.046,91.32,,,,,,,,3.81,87.96,,6.583333333333333,250.0,,,0.19,,,90.0,2.0,mechanical,amorphous,uncontrolled_burn,10.0,10.0,38,False
18,Production of rice husk ash for use in concrete as a supplementary cementitious material,"M.F.M. Zain, M.N. Islam, F. Mahmud, M. Jamil",Construction and Building Materials,2011,10.1016/j.conbuildmat.2010.07.003,82.35000000000001,0.94,0.0766666666666666,0.67,0.1666666666666666,0.0166666666666666,0.0433333333333333,2.9133333333333336,11.976666666666668,,,50.26666666666667,,,,,,,,,,amorphous,burn_other,,,0,False
19,Concrete incorporating rice-husk ash without processing,"R. Zerbino, G. Giaccio, G.C. Isaia",Construction and Building Materials,2011,10.1016/j.conbuildmat.2010.06.016,94.94,1.285,0.345,0.49,0.425,0.01,0.1,1.4249999999999998,0.38,,,36.66666666666666,,,,0.55,,,1.0,2.0,mechanical,mixed,uncontrolled_burn,15.0,15.0,2,False
20,Strength of Mortar and Concrete as Influenced by Rice Husk Ash: A Review,"M.R. Karim, M.F.M. Zain, M. Jamil, F.C. Lai, M.N. Islam",World Applied Sciences Journal,2012,10.5829/idosi.wasj.2012.19.10.533,80.0,2.11,1.125,0.515,0.2249999999999999,0.5,1.57,1.8,4.775,90.0,2.2,7.5,35.0,28800.0,7233.333333333333,,,,,2.0,,,burn_other,20.0,,0,False
21,Reduction in environmental problems using rice-husk ash in concrete,"Rawaid Khan, Abdul Jabbar, Irshad Ahmad, Wajid Khan, Akhtar Naeem Khan, Jahangir Mirza",Construction and Building Materials,2012,10.1016/j.conbuildmat.2011.11.028,86.75,0.4499999999999999,0.895,2.435,0.55,,,,4.925,,2.1,,,,,0.798,800.0,,,,both,mixed,controlled_burn,25.0,,31,False
22,Effect of Rice Husk Ash (RHA) as Partial Replacement of Cement on Concrete Properties,C.Marthong,International Journal of Engineering Research & Technology (IJERT),2012,,75.0,3.3,1.29,0.78,0.22,,0.4,1.5,3.67,,2.53,,,,,0.38,,,,,,,controlled_burn,10.0,0.0,50,False
23,Utilization Of Rice Husk Ash,"S. D. Nagrale, Dr. Hemant Hajare, Pankaj R. Modak",International Journal of Engineering Research and Applications (IJERA),2012,,80.05,0.7050000000000001,,0.54,0.985,,0.795,1.32,,87.5,2.11,63.8,,,,0.5166666666666666,,,,2.0,mechanical,,burn_other,,,0,False
24,STRUCTURAL PROPERTIES OF RICE HUSK ASH CONCRETE.,"Godwin A. Akeke, Maurice E. Ephraim, Akobo, I.Z.S and Joseph O. Ukpata.",International Journal of Engineering and Applied Sciences,2013,,,,,,,,,,,,1.5366666666666668,,,,,,,,,,,,uncontrolled_burn,10.0,10.0,12,False
25,Pozzolanic contribution of rice husk ash in cementitious system,"M. Jamil, A.B.M.A. Kaish, S.N. Raman, M.F.M. Zain",Construction and Building Materials,2013,http://dx.doi.org/10.1016/j.conbuildmat.2013.05.088,,,,,,,,,,97.5,,,,,,,,,,2.0,,mixed,burn_other,14.3,,0,False
26,Experimental Investigations of Performance Characteristics of Rice Husk AshBlended Concrete,A. Muthadhi and S. Kothandaraman,Journal of Materials in Civil Engineering,2013,10.1061/(ASCE)MT.1943-5533.0000656,90.0,,,,,,,,2.27,,,45.0,50.1,,,0.3575,500.0,120.0,,2.0,both,amorphous,controlled_burn,20.0,,0,False
27,The Effect Of Rice Husk Ash Used As Supplementary Cementing Material On Strength Of Mortar,"Jayanti Rajput, R.K. Yadav, R. Chandak",International Journal of Engineering Research and Applications (IJERA),2013,,83.6,0.84,0.76,0.64,0.4,0.69,,,14.2,,,,,,,,,,,,,,controlled_burn,10.0,0.0,21,False
28,Rice husk ash (RHA) effectiveness in cement and concrete as a function of reactive silica and fineness,"S.K. Antiohos, V.G. Papadakis, S. Tsimas",Cement and Concrete Research,2014,10.1016/j.cemconres.2014.04.001,50.655,5.4975000000000005,5.0775,5.1075,5.209999999999999,5.0525,200.0,5.7375,7.417499999999999,24.197142857142858,,,,,2667.5,0.5375000000000001,,,,2.0,mechanical,crystalline,burn_other,10.0,10.0,41,False
29,Effect of Rice Husk Ash on Properties of Concrete,"Makarand Suresh Kulkarni, Paresh GovindMirgal, Prajyot Prakash Bodhale, S.N. Tande",Journal of Civil Engineering and Environmental Technology,2014,,86.94,2.6,0.2,0.1,0.4,,0.45,2.225,3.775,,2.3,,,,,0.45,,,1.0,,mechanical,,uncontrolled_burn,20.0,,0,False
30,USE OF RICE HUSK ASH AS PARTIAL REPLACEMENT FOR CEMENT IN CONCRETE,"OBILADE, I.O.",International Journal of Engineering and Applied Sciences,2014,,,,,,,,,,,,,,,,,,,,,,mechanical,,burn_other,0.0,0.0,18,False
31,Use of Rice Husk Ash as Partial Replacement with Cement In Concrete- A Review,"Sourav Ghosal, S.C.Moulik",International Journal of Engineering Research,2015,,92.75,,,,,,,2.0,,,,,525.0,,,,650.0,2.0,,,thermal,amorphous,burn_other,,,0,False
32,Use of Rice Husk Ash in Concrete: A Review,"Mr. Amitkumar I. Gupta, Dr. Abhay S. Wayal",IOSR Journal of Mechanical and Civil Engineering (IOSR-JMCE),2015,10.9790/1684-12412931,89.745,0.8939999999999999,0.4283333333333334,0.4833333333333332,0.5916666666666668,0.54,0.47,2.083333333333333,4.32,,,,,,,0.5,,,,2.0,mechanical,,controlled_burn,10.0,,0,False
33,Study on Effect of Natural and Ground Rice-Husk Ash Concrete,V. Ponmalar and R. Albert Abraham,KSCE Journal of Civil Engineering,2015,10.1007/s12205-014-2019-4,77.82000000000001,0.5,3.2,0.305,0.96,,,0.1149999999999999,,,0.925,190.0,,,,0.5,650.0,1.0,,2.0,both,amorphous,controlled_burn,10.0,10.0,1,False
34,Experimental investigation on rice husk ash as cement replacement on concrete production,"Josephin Alex, J. Dhanalakshmi, B. Ambedkar",Construction and Building Materials,2016,http://dx.doi.org/10.1016/j.conbuildmat.2016.09.150,52.512857142857136,,10.951428571428574,11.025714285714288,,,,11.105714285714289,1.1966666666666663,,1.0916666666666666,69.41722222222222,39.00611111111111,,,0.45,,,25.0,,mechanical,,uncontrolled_burn,20.0,,0,False
35,Study on concrete with partial replacement of cement by rice husk ash,"N Kaarthik Krishna, S Sandeep, K M Mini",IOP Conference Series: Materials Science and Engineering,2016,10.1088/1757-899X/149/1/012109,79.84,0.55,0.14,1.16,0.19,,0.08,2.9,,,1.95,,,,,0.55,,,,,,,,10.0,10.0,13,False
36,Analysis of the effects of rice husk ash on the hydration of cementitious materials,"Ki-Bong Park, Seung-Jun Kwon, Xiao-Yong Wang",Construction and Building Materials,2016,http://dx.doi.org/10.1016/j.conbuildmat.2015.12.086,87.96,1.14,0.3,0.52,,0.47,,3.29,3.81,42.925,2.1,2.746,,,,0.2766666666666666,,,45.0,2.0,mechanical,amorphous,uncontrolled_burn,,20.0,12,False
37,The Effect of Incineration Temperature to the Chemical and Physical Properties of Ultrafine Treated Rice Husk Ash (UFTRHA) as Supplementary Cementing Material (SCM),"Siti Asmahani Saad, Muhd Fadhil Nuruddin, Nasir Shafiq, and Maisarah Ali",Procedia Engineering,2016,10.1016/j.proeng.2016.06.515,419.275,375.235,500.03,378.4875,500.2966666666666,,,375.545,,97.0,,,,,,,750.0,1.0,15.0,,mechanical,,controlled_burn,,,0,False
38,Properties of bacterial rice husk ash concrete,"Rafat Siddique, Karambir Singh, Kunal, Malkit Singh, Valeria Corinaldesi, Anita Rajor",Construction and Building Materials,2016,http://dx.doi.org/10.1016/j.conbuildmat.2016.05.146,90.4,,1.7,1.6,0.7,,,,,90.4,,,,,,0.5,,,,2.0,,amorphous,,10.0,10.0,30,False
39,To Study Strength Characteristics of Concrete with Rice Husk Ash,"Paramveer Singh, Tarunbir Singh, Gurpreet Singh",Indian Journal of Science and Technology,2016,10.17485/ijst/2016/v9i47/105272,,,,,,,,,,,2.3,45.0,,,,0.4,,,,,,,other,10.0,0.0,10,False
40,Structure and properties of mortar and concrete with rice husk ash as partial replacement of ordinary Portland cement A review,"Fapohunda Christopher, Akinbile Bolatito, Shittu Ahmed",International Journal of Sustainable Built Environment,2017,http://dx.doi.org/10.1016/j.ijsbe.2017.07.004,63.3325,3.225714285714285,3.5142857142857147,2.165,1.5625,1.4137499999999998,1.3025,2.5475000000000003,10.154285714285717,432.4666666666667,2.29,28.25,52.400000000000006,,7000.0,0.4366666666666666,487.75,30.83333333333333,150.0,2.0,mechanical,mixed,controlled_burn,10.0,,1,False
41,Optimal Raw Material Mix for the Production of Rice Husk Ash Blended Cement,Akeem Ayinde Raheem and Mutiu Abiodun Kareem,International Journal of Sustainable Construction Engineering & Technology,2017,,82.14,1.2125,1.34,1.27,1.9625,0.1675,0.14,2.09,,,,,,,,,600.0,8.0,,,thermal,,burn_other,12.45,,0,False
42,Rice husk ash as a partial replacement of cement in high strength concrete containing micro silica: Evaluating durability and mechanical properties,"Seyed Alireza Zareei, Farshad Ameri, Farzan Dorostkar, Mojtaba Ahmadi",Case Studies in Construction Materials,2017,http://dx.doi.org/10.1016/j.cscm.2017.05.001,86.73,0.39,0.04,0.61,0.08,1.32,9.76,0.01,0.54,,,,,,,0.4,600.0,5.0,,2.0,thermal,,burn_other,20.0,20.0,12,False
43,Potential of Rice Husk Ash (RHA) as a Supplementary Cementitious Material in Concrete,Mohammad Badrul Ahsan and Zahid Hossain,Advances in Civil Engineering Materials,2018,10.1520/ACEM20170114,,,,,,,,,136.22666666666666,80.0,,264.6666666666667,145.65533333333337,145.65533333333337,,0.4599999999999999,,,,2.0,mechanical,,other,10.0,,0,False
44,Supplemental use of rice husk ash (RHA) as a cementitious material in concrete industry,"Mohammad Badrul Ahsan, Zahid Hossain",Construction and Building Materials,2018,https://doi.org/10.1016/j.conbuildmat.2018.05.101,75.0,,,,,,,,4.8933333333333335,80.0,,133.33333333333334,14.322,14.322,,0.4599999999999999,,,,,mechanical,,other,10.0,,0,False
45,Effect of Rice Husk Ash and Water-Cement Ratio on Strength of Concrete,"Naraindas Bheel, Shanker Lal Meghwar, Sohail Ahmed Abbasi, Lal Chand Marwari, Jabbar Ahmed Mugeri, Rameez Ali Abbasi",Civil Engineering Journal,2018,10.28991/cej-03091166,,,,,,,,,,,,,,,,0.5166666666666666,725.0,24.0,,,thermal,,burn_other,10.0,,0,False
46,Study on concrete with rice husk ash,"Ayesha Siddika, Md. Abdullah Al Mamun, Md. Hedayet Ali",Innovative Infrastructure Solutions,2018,https://doi.org/10.1007/s41062-018-0127-6,,,,,,,,,,,2.01,,,,,0.5,,,10.0,,mechanical,,other,10.0,,0,False
47,Green concrete partially comprised of rice husk ash as a supplementary cementitious material  A comprehensive review,Blessen Skariah Thomas,Renewable and Sustainable Energy Reviews,2018,10.1016/j.rser.2017.10.081,90.275,0.95,0.48,0.35,0.4,0.25,0.37,2.355,5.2,82.5,2.1100000000000003,6.205,1339.9875,,2904.2,0.4085714285714285,600.0,4.5,,,both,crystalline,controlled_burn,10.0,,0,False
48,Use of Rice Husk Ash as Cementitious Material in Concrete,"Naraindas Bheel, Ali Aizaz Dayo, Abdul Wahab Abro, Sultan Shaikh, Irfan Ali Shar, Zubair Hussain Shaikh","Engineering, Technology & Applied Science Research",2019,,,,,,,,,,,,,,,,,,,,,,both,,uncontrolled_burn,10.0,10.0,15,False
49,A STUDY ON USE OF RICE HUSK ASH IN CONCRETE,"Ankit Gautam, Rahul Batra, Nishant Singh",Engineering Heritage Journal (GWK),2019,http://doi.org/10.26480/gwk.01.2019.01.04,85.0,,,,,,,,,85.0,2.3,25.0,,,,0.4,650.0,24.0,,,thermal,,controlled_burn,7.5,7.5,12,False
50,OPTIMIZED PREPARATION OF RICE HUSK ASH (RHA) AS A SUPPLEMENTARY CEMENTITIOUS MATERIAL,"Carmela Denise Isberto, Krystoffer Lloyd Labra, Jan Marielle B. Landicho and Richard De Jesus",International Journal of GEOMATE,2019,https://doi.org/10.21660/2019.57.4628,93.47,0.87,0.92,1.08,3.18,,,,,,,,,,163.575,,500.0,10.0,1.5,2.0,both,amorphous,controlled_burn,10.0,10.0,10,False
51,Rice husk ash as a sustainable supplementary cementitious material for improved concrete properties,"Nsesheye Susan Msinjili, Wolfram Schmidt, Andreas Rogge & Hans-Carsten Kühne","African Journal of Science, Technology, Innovation and Development",2019,10.1080/20421338.2018.1513895,88.84,1.78,0.8,0.39,0.92,0.35,1.1,2.8,2.02,90.0,2.31,30.0,9040.0,,,0.5,650.0,90.0,,,both,,burn_other,15.0,,0,False
52,Optimization of mechanical properties of rice husk ash concrete using Scheffes theory,"Imoh Christopher Attah, Roland Kufre Etim, George Uwadiegwu Alaneme, Okon Bassey Bassey",SN Applied Sciences,2020,https://doi.org/10.1007/s42452-020-2727-y,75.3,2.95,1.4,1.98,2.1,,0.98,5.55,5.61,,2.1,,,,,,,,,2.0,,,burn_other,,,0,False
53,Sustainable use of rice husk ash in cement-based materials: Environmental evaluation and performance improvement,"Lingling Hu, Zhen He, Shipeng Zhang",Journal of Cleaner Production,2020,https://doi.org/10.1016/j.jclepro.2020.121744,94.38,1.2,0.3,0.07,0.82,1.19,0.1,1.06,,,,5.0,122.9,122.9,,0.5,600.0,2.0,20.0,2.0,both,amorphous,controlled_burn,15.0,15.0,12,False
54,Acid leached rice husk ash (ARHA) in concrete: A review,"Wai Hoe Kwan, Yong Seng Wong",Materials Science for Energy Technologies,2020,https://doi.org/10.1016/j.mset.2020.05.001,55.29333333333333,0.9200000000000002,0.9200000000000002,0.8911111111111111,0.8755555555555556,1.216,0.316,0.8944444444444445,2.31,99.0,2.1,45.0,9.24,359.3333333333333,,,800.0,1.1666666666666667,,2.0,none,mixed,burn_other,10.0,10.0,6,False
55,Utilizing Rice Husk Ash as Supplement to Cementitious Materials on Performance of Ultra High Performance Concrete: A review,"M.A. Mosaberpanah, S.A. Umar",Materials Today Sustainability,2020,https://doi.org/10.1016/j.mtsust.2019.100030,59.14444444444444,2.325555555555556,1.6,2.09,1.8888888888888888,1.8855555555555557,1.7655555555555555,4.413333333333333,4.72125,92.0,,12.03,130.0,27.32242857142857,,0.185,,,51.66666666666666,2.0,mechanical,amorphous,burn_other,10.0,,0,False
56,Compressive Strength of Concrete using Fly Ash and Rice Husk Ash: A Review,Sam Joel,Civil Engineering Journal,2020,http://dx.doi.org/10.28991/cej-2020-03091556,91.43222222222224,0.8300000000000001,1.007777777777778,0.4022222222222222,0.4375,0.985,0.1114285714285714,2.154444444444445,5.169999999999999,,,,,,,,,,,2.0,,,burn_other,7.5,,0,False
57,Performance of Rice Husk Ash as Supplementary Cementitious Material after Production in the Field and in the Lab,"Mareike Thiedeitz, Wolfram Schmidt, Michelle Härder, Thomas Kränkel",Materials,2020,10.3390/ma13194319,184.85,138.41750000000002,138.12625,138.12375000000003,138.10375000000002,,138.09625,138.75625,,187.525,139.01375,,,74.0,1425.0,0.5,437.875,138.75,23.33333333333333,2.0,mechanical,mixed,uncontrolled_burn,20.0,40.0,23,False
58,"Effect of particle size, porous structure and content of rice husk ash on the hydration process and compressive strength evolution of concrete","Amanda Pereira Vieira, Romildo Dias Toledo Filho, Luís Marcelo Tavares, Guilherme Chagas Cordeiro",Construction and Building Materials,2020,https://doi.org/10.1016/j.conbuildmat.2019.117553,89.85,0.79,4.79,0.86,,1.34,,1.38,0.53,50.4,2.44,,264.3636363636364,264.3636363636364,,0.36,475.0,3.0,22.666666666666668,2.0,both,mixed,other,12.0,12.0,20,False
59,"Eco-friendly high strength, high ductility engineered cementitious composites (ECC) with substitution of fly ash by rice husk ash","Zhigang Zhang, Fan Yang, Jin-Cheng Liu, Shuping Wang",Cement and Concrete Research,2020,10.1016/j.cemconres.2020.106200,2.0,,,,,,,,,2.0,,,,,,0.2,,,5.0,2.0,mechanical,crystalline,burn_other,50.0,100.0,4,False
60,Assessment of strength properties of concrete made with rice husk ash,"RA.B. Depaa, V. Priyadarshini, A. Hemamalinie, J Francis Xavier, K Surendrababu",Materials Today: Proceedings,2021,10.1016/j.matpr.2020.12.605,,,,,,,,,,,,,,,,0.45,,,,,,,,15.0,,0,False
61,Strength performance of high-grade concrete using rice husk ash (RHA) as cement replacement material,"Kurrae Rajashekhar Reddy, M. Harihanandh, K. Murali",Materials Today: Proceedings,2021,10.1016/j.matpr.2021.04.332,86.94,1.25,0.2,0.1,0.4,,0.45,2.225,,,2.3,,,,,0.39,,,,2.0,,,controlled_burn,7.5,7.5,12,False
62,State-of-the-art-review on rice husk ash: A supplementary cementitious material in concrete,"Ayesha Siddika, Md. Abdullah Al Mamun, Rayed Alyousef, Hossein Mohammadhosseini",Journal of King Saud University - Engineering Sciences,2021,https://doi.org/10.1016/j.jksues.2020.10.006,85.39666666666666,1.605,3.115,0.7899999999999999,1.205,0.365,0.355,2.13,6.48,90.0,2.154,22.416666666666668,93.235,351.5,,0.3833333333333333,675.0,,125.88888888888889,2.0,both,mixed,uncontrolled_burn,10.0,,0,False
63,"Sustainable high strength, high ductility engineered cementitious composites (ECC) with substitution of cement by rice husk ash","Zhigang Zhang, Siyu Liu, Fan Yang, Yiwei Weng, Shunzhi Qian",Journal of Cleaner Production,2021,https://doi.org/10.1016/j.jclepro.2021.128379,87.51,0.71,0.61,0.63,0.52,,0.05,1.87,,,2.0,,,,,,,,5.0,,mechanical,crystalline,other,25.0,40.0,6,False
64,Strength Performance of Concrete Produced with Rice Husk Ash as Partial Replacement of Cement,"Agboola Shamsudeen Abdulazeez, Umar Yunusa, Tukur Mohammed and Bappah Hamza",African Journal of Environmental Sciences & Renewable Energy,2022,,81.47,1.22,1.61,1.34,1.46,,0.08,0.32,4.92,81.47,2.06,,,,,0.5,650.0,,,,thermal,,controlled_burn,10.0,0.0,28,False
65,Strength and durability of concrete using Rice Husk ash as a partial replacement of cement,"Guguloth Bixapathi, M. Saravanan",Materials Today: Proceedings,2022,https://doi.org/10.1016/j.matpr.2021.11.267,87.5,,,,,,,,,87.5,,,,,,0.4,,,,,,,other,15.0,15.0,18,False
66,Rice Husk Ash in Concrete,"Solomon Asrat Endale, Woubishet Zewdu Taffese, Duy-Hai Vo, Mitiku Damtie Yehualaw",Sustainability,2022,10.3390/su15010137,83.5,,,,,,,,,,,,56.0,,,,750.0,,53.333333333333336,2.0,mechanical,crystalline,uncontrolled_burn,10.0,,0,False
67,Integration of Rice Husk Ash as Supplementary Cementitious Material in the Production of Sustainable High-Strength Concrete,"Noor Md. Sadiqul Hasan, Md. Habibur Rahman Sobuz, Md. Munir Hayet Khan, Nusrat Jahan Mim, Md. Montaseer Meraz, Shuvo Dip Datta, Md. Jewel Rana, Ayan Saha, Abu Sayed Mohammad Akid, Md. Tanjid Mehedi, Moustafa Houda, Norsuzailina Mohamed Sutan",Materials,2022,10.3390/ma15228171,75.24,2.42,2.18,2.24,2.28,0.12,0.86,1.72,12.99,,,,,,,0.35,,,,,,,controlled_burn,10.0,,5,False
68,Rice husk ash as a potential supplementary cementitious material in concrete solution towards sustainable construction,"Ganta Mounika, Ramesh Baskar, Jyosyula Sri Kalyana Rama",Innovative Infrastructure Solutions,2022,https://doi.org/10.1007/s41062-021-00643-5,89.03333333333333,1.3257142857142856,1.2607142857142857,0.8185714285714286,1.0007142857142857,0.8464285714285714,0.2714285714285714,2.472142857142857,5.14,,2.29,19.53333333333333,7000.0,,,0.39875,681.25,24.5,185.0,2.0,mechanical,mixed,uncontrolled_burn,10.0,15.0,1,False
69,Strength Performance of Concrete using Rice Husk Ash as Supplementary Cementitious Materials (SCM),"Dahlia Patah, Amry Dasar",Journal of The Civil Engineering Forum,2022,10.22146/jcef.3488,,,,,,,,,,,2.24,,87.0,,,0.4,,,,,,,burn_other,7.5,10.0,16,False
70,Review paper: Performance of rice husk ash as a material for partial cement replacement in concrete,"Zaidatul Syahida Adnan, Nur Farhayu Ariffin, Sharifah Maszura Syed Mohsin, Nor Hasanah Abdul Shukor Lim",Materials Today: Proceedings,2022,https://doi.org/10.1016/j.matpr.2021.02.400,88.77,0.545,0.25,0.53,0.35,,0.3833333333333333,2.42,4.96,90.8,2.056666666666666,7.766666666666667,183.3,,,,625.0,30.0,168.0,2.0,both,mixed,burn_other,5.0,,0,False
71,"Rice husk ash as an additive in mortar  Contribution to microstructural, strength and durability performance","Mareike Thiedeitz, Benjamin Ostermaier, Thomas Kränkel","Resources, Conservation & Recycling",2022,https://doi.org/10.1016/j.resconrec.2022.106389,94.97,0.83,0.97,0.58,0.57,,0.58,1.66,,14.466666666666669,2.29,,128.13,128.13,1920.0,0.5,650.0,30.0,20.0,2.0,both,crystalline,burn_other,25.0,,0,False
