paper_id,declared_replacement_levels_pct,replacement_min_pct,replacement_max_pct,material_type,source_material,processing_method,processing_parameters,sio2_pct,activation_method,w_b_ratio,fe2o3_pct,al2o3_pct,pozzolanic_reactivity,cao_pct,mgo_pct,k2o_pct,mechanical_activation_method,amorphous_content_pct,activation_parameters,na2o_pct,specific_gravity,loi_pct,xrd_phases,other_reported_oxides,mineral_composition,thermal_treatment_temperature,replacement_pct,age_days,compressive_strength_mpa
P068,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk,Incineration in ferrocement furnace followed by grinding in Los Angeles machine,"Flame kept for ~1 h, smoldering for ~24 h, settling inside furnace for 24 h",75.24,,0.35,2.24,2.18,,2.42,2.28,1.72,,,,0.86,,12.99,,,,,5.0,7.0,46.76
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,5.0,7.0,32.54
P075,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk,controlled,"Temperature increasing gradually from 20°C/min up to 600°C/min for six hours, then allowed to cool at room temperature",92.76,thermal,0.55,1.98,0.79,,3.85,,0.22,,,Temperature increasing gradually from 20°C/min up to 600°C/min for 6 hours,0.4,2.12,,,,,600.0,5.0,7.0,21.23
P031,"0, 5, 10, 15, 20, 25",0.0,25.0,Rice Husk Ash (RHA),Rice Husk,"Burnt under guided or enclosed place, ground, and sieved",Sieved through 600 ?m sieve,,mechanical,,,,,,,,Grinding,,,,,,,,,,5.0,14.0,17.44
P049,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk from Sakrand region,controlled,Sieved through #30 sieves,,both,,,,,,,,Sieving through #30 sieves,,Uncontrolled temperature burning; sieved through #30 sieves,,,,,,,,5.0,14.0,28.2
P066,"0, 5, 10, 15, 20, 25",0.0,25.0,Rice husk ash,Rice husk / Paddy grains,Blazing,,87.5,,0.4,,,,,,,,87.5,,,,,,,,,5.0,14.0,22.8
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,5.0,14.0,39.19
P075,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk,controlled,"Temperature increasing gradually from 20°C/min up to 600°C/min for six hours, then allowed to cool at room temperature",92.76,thermal,0.55,1.98,0.79,,3.85,,0.22,,,Temperature increasing gradually from 20°C/min up to 600°C/min for 6 hours,0.4,2.12,,,,,600.0,5.0,14.0,29.25
P009,"5, 10, 15, 20",5.0,20.0,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",94.5,both,4.784,0.275,0.345,high,0.86,0.21,1.43,Ball milling,95.0,Ceramic balls used for ball milling,0.32,2120.0,0.23,Amorphous,"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",,600.0,5.0,28.0,40.2
P009,"5, 10, 15, 20",5.0,20.0,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",94.5,both,4.784,0.275,0.345,high,0.86,0.21,1.43,Ball milling,95.0,Ceramic balls used for ball milling,0.32,2120.0,0.23,Amorphous,"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",,600.0,5.0,28.0,41.5
P010,"5, 10, 15, 20",5.0,20.0,Rice husk ash (RHA),Rice husk,controlled,Incineration temperature < 700 °C; Sieving through 150 µm and 33 µm; Grinding in Los Angeles mill for 30 min and 180 min,87.86,mechanical,0.4,0.93,0.68,high,1.3,0.35,2.37,Los Angeles mill grinding,95.0,Grinded using Los Angeles mill,0.12,,,,,,700.0,5.0,28.0,38.7
P016,"0, 5, 10, 15",0.0,15.0,Rice Husk Ash,Rice Husk,Burning / Incineration,,82.5,,0.355,,,high,,,,,,,,2.27,,,,,,5.0,28.0,48.26
P016,"0, 5, 10, 15",0.0,15.0,Rice Husk Ash,Rice Husk,Burning / Incineration,,82.5,,0.355,,,high,,,,,,,,2.27,,,,,,5.0,28.0,56.4
P017,"0, 5, 10, 15, 20, 25, 30",0.0,30.0,Rice Husk Ash (RHA),Rice husk,controlled,Temperature in the range of 650°C,90.9,mechanical,0.53,0.6,0.83,,0.8,0.56,,Laboratory batch 2ball mill,,Ground in laboratory batch 2ball mill; passing through sieve No. 325 (sieve opening 45 µm),,,,"Amorphous silica, Cristobalite, Tridymite, Quartz",Na?O + K?O: 1.55,,,5.0,28.0,33.6
P028,"0, 5, 10, 15, 20, 25, 30",0.0,30.0,Rice Husk Ash (RHA),Rice Husk,controlled,,83.6,,,0.64,0.76,,0.84,0.4,,,,,,,14.2,,Particles retained on 45 micron IS sieves (Wet Sieving): 27.13,,,5.0,28.0,49.0
P031,"0, 5, 10, 15, 20, 25",0.0,25.0,Rice Husk Ash (RHA),Rice Husk,"Burnt under guided or enclosed place, ground, and sieved",Sieved through 600 ?m sieve,,mechanical,,,,,,,,Grinding,,,,,,,,,,5.0,28.0,27.68
P039,"0, 5, 10, 15, 20",0.0,20.0,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,90.4,,0.5,1.6,1.7,reactive pozzolanic material,,0.7,,,90.4,,,,,amorphous silica,alkali oxides: 3.2%,,,5.0,28.0,34.2
P039,"0, 5, 10, 15, 20",0.0,20.0,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,90.4,,0.5,1.6,1.7,reactive pozzolanic material,,0.7,,,90.4,,,,,amorphous silica,alkali oxides: 3.2%,,,5.0,28.0,38.0
P049,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk from Sakrand region,controlled,Sieved through #30 sieves,,both,,,,,,,,Sieving through #30 sieves,,Uncontrolled temperature burning; sieved through #30 sieves,,,,,,,,5.0,28.0,33.9
P050,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice Husk Ash (RHA),Rice husk / Paddy,Burning of husk in boiler or ferrocement furnace,Temperature around 500800°C for 24 hours; air ducts provided to control temperature and reduce carbon content,85.0,thermal,0.4,,,"Pozzolanic behavior depends upon silica crystallization phase, silica content, size, and surface area of ash",,,,,85.0,"Controlled burning at 500800°C for 24 hours, cooled to ~52°C after 24 hours and ~25°C after 48 hours",,2.3,,,,,650.0,5.0,28.0,39.9
P051,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice Husk (RH),controlled,12kgs of RH loaded per batch; 20% recovered as RHA; RH laid flat 2-3cm thick on 28 ceramic hearth plates,93.47,both,,1.08,0.92,high,0.87,3.18,,Ball milling using a Los Angeles machine,,Free air supply through 4 holes during burning; slow cooling for 6-8 hours with furnace door ajar,,,,Amorphous,Titanium oxide (TiO2): 0.04,,500.0,5.0,28.0,35.48
P057,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice Husk Ash (RHA),Rice husk,Burning / Incineration,Burning temperature below 1440,91.432222,,,0.402222,1.007778,Active pozzolanic material,0.83,0.4375,2.154444,,,,0.111429,,5.17,,P2O5: ND; 0.48; ND; ND; 0.67; ND; 0.8; 2.43; ND TiO2: ND; 0.17; ND; ND; ND; ND; ND; ND; 0.16,,,5.0,28.0,39.9
P062,"0, 5, 7.5, 10, 12.5, 15",0.0,15.0,Rice husk ash (RHA),Rice husk,Charring in a ferrocation oven or boilers with air pipes/electrical ventilators,"Burned at about 50°-800°C for 24 h, around 52°C after 24 h, and around 25°C after 48 h",86.94,,0.39,0.1,0.2,high,1.25,0.4,2.225,,,,0.45,2.3,,,,Non crystalline,,5.0,28.0,38.45
P066,"0, 5, 10, 15, 20, 25",0.0,25.0,Rice husk ash,Rice husk / Paddy grains,Blazing,,87.5,,0.4,,,,,,,,87.5,,,,,,,,,5.0,28.0,26.5
P068,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk,Incineration in ferrocement furnace followed by grinding in Los Angeles machine,"Flame kept for ~1 h, smoldering for ~24 h, settling inside furnace for 24 h",75.24,,0.35,2.24,2.18,,2.42,2.28,1.72,,,,0.86,,12.99,,,,,5.0,28.0,67.73
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,5.0,28.0,39.98
P073,"0, 5, 7, 10, 15, 20, 25, 30, 40, 50, 60",0.0,60.0,Rice Husk Ash (RHA),Rice husk,controlled,Combustion temperature 500 °C to 700 °C; Minimum grinding duration 1030 min,86.77625,both,,0.87625,1.045,high,1.07875,0.627143,2.438571,Mechanical grinding (automatic grinder / vibrating mill),88.333333,Thermal treatment: 500700 °C; Grinding: 1030 min (or up to 120 min in vibrating mill),0.374286,2.154,12.0,"Cristobalite, amorphous silica (SiO2)",,Amorphous silica and minor cristobalite,600.0,5.0,28.0,36.45
P073,"0, 5, 7, 10, 15, 20, 25, 30, 40, 50, 60",0.0,60.0,Rice Husk Ash (RHA),Rice husk,controlled,Combustion temperature 500 °C to 700 °C; Minimum grinding duration 1030 min,86.77625,both,,0.87625,1.045,high,1.07875,0.627143,2.438571,Mechanical grinding (automatic grinder / vibrating mill),88.333333,Thermal treatment: 500700 °C; Grinding: 1030 min (or up to 120 min in vibrating mill),0.374286,2.154,12.0,"Cristobalite, amorphous silica (SiO2)",,Amorphous silica and minor cristobalite,600.0,5.0,28.0,55.4
P075,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk,controlled,"Temperature increasing gradually from 20°C/min up to 600°C/min for six hours, then allowed to cool at room temperature",92.76,thermal,0.55,1.98,0.79,,3.85,,0.22,,,Temperature increasing gradually from 20°C/min up to 600°C/min for 6 hours,0.4,2.12,,,,,600.0,5.0,28.0,34.5
P009,"5, 10, 15, 20",5.0,20.0,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",94.5,both,4.784,0.275,0.345,high,0.86,0.21,1.43,Ball milling,95.0,Ceramic balls used for ball milling,0.32,2120.0,0.23,Amorphous,"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",,600.0,5.0,56.0,43.1
P009,"5, 10, 15, 20",5.0,20.0,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",94.5,both,4.784,0.275,0.345,high,0.86,0.21,1.43,Ball milling,95.0,Ceramic balls used for ball milling,0.32,2120.0,0.23,Amorphous,"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",,600.0,5.0,56.0,46.5
P039,"0, 5, 10, 15, 20",0.0,20.0,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,90.4,,0.5,1.6,1.7,reactive pozzolanic material,,0.7,,,90.4,,,,,amorphous silica,alkali oxides: 3.2%,,,5.0,56.0,39.0
P039,"0, 5, 10, 15, 20",0.0,20.0,Rice husk ash (RHA),"KGR Agro Fusions Private Limited, Ludhiana, Punjab (India)",,,90.4,,0.5,1.6,1.7,reactive pozzolanic material,,0.7,,,90.4,,,,,amorphous silica,alkali oxides: 3.2%,,,5.0,56.0,43.0
P068,"0, 5, 10, 15, 20",0.0,20.0,Rice Husk Ash (RHA),Rice husk,Incineration in ferrocement furnace followed by grinding in Los Angeles machine,"Flame kept for ~1 h, smoldering for ~24 h, settling inside furnace for 24 h",75.24,,0.35,2.24,2.18,,2.42,2.28,1.72,,,,0.86,,12.99,,,,,5.0,56.0,69.13
P009,"5, 10, 15, 20",5.0,20.0,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",94.5,both,4.784,0.275,0.345,high,0.86,0.21,1.43,Ball milling,95.0,Ceramic balls used for ball milling,0.32,2120.0,0.23,Amorphous,"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",,600.0,5.0,90.0,45.0
P009,"5, 10, 15, 20",5.0,20.0,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",94.5,both,4.784,0.275,0.345,high,0.86,0.21,1.43,Ball milling,95.0,Ceramic balls used for ball milling,0.32,2120.0,0.23,Amorphous,"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",,600.0,5.0,90.0,49.0
P010,"5, 10, 15, 20",5.0,20.0,Rice husk ash (RHA),Rice husk,controlled,Incineration temperature < 700 °C; Sieving through 150 µm and 33 µm; Grinding in Los Angeles mill for 30 min and 180 min,87.86,mechanical,0.4,0.93,0.68,high,1.3,0.35,2.37,Los Angeles mill grinding,95.0,Grinded using Los Angeles mill,0.12,,,,,,700.0,5.0,90.0,43.5
P016,"0, 5, 10, 15",0.0,15.0,Rice Husk Ash,Rice Husk,Burning / Incineration,,82.5,,0.355,,,high,,,,,,,,2.27,,,,,,5.0,90.0,49.15
P016,"0, 5, 10, 15",0.0,15.0,Rice Husk Ash,Rice Husk,Burning / Incineration,,82.5,,0.355,,,high,,,,,,,,2.27,,,,,,5.0,90.0,58.36
P070,"0, 2.5, 5, 7.5, 10",0.0,10.0,Rice Husk Ash (RHA) / RHA,Rice field / Rice husk,Natural combusting process,Uncontrolled burning temperature and time; sieved through No. 50 sieve,,,0.4,,,,,,,,,,,2.24,,,,,,5.0,91.0,40.82
P009,"5, 10, 15, 20",5.0,20.0,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",94.5,both,4.784,0.275,0.345,high,0.86,0.21,1.43,Ball milling,95.0,Ceramic balls used for ball milling,0.32,2120.0,0.23,Amorphous,"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",,600.0,5.0,180.0,48.6
P009,"5, 10, 15, 20",5.0,20.0,Rice husk ash (TRHA and ChRHA),"Rice husk collected from rice mill ""Arrocera La Esmeralda"" located in Valle del Cauca, Southeastern Colombia",Thermal treatment (TRHA); Chemical-thermal attack (ChRHA),"Hydrochloric acid leaching (1 N, 24 h), water washing to neutral pH, drying",94.5,both,4.784,0.275,0.345,high,0.86,0.21,1.43,Ball milling,95.0,Ceramic balls used for ball milling,0.32,2120.0,0.23,Amorphous,"TiO2: 0.04 (TRHA), 0.02 (ChRHA); P2O5: 0.68 (TRHA), 0.11 (ChRHA); MnO: 0.19 (TRHA), 0.02 (ChRHA)",,600.0,5.0,180.0,51.6
P073,"0, 5, 7, 10, 15, 20, 25, 30, 40, 50, 60",0.0,60.0,Rice Husk Ash (RHA),Rice husk,controlled,Combustion temperature 500 °C to 700 °C; Minimum grinding duration 1030 min,86.77625,both,,0.87625,1.045,high,1.07875,0.627143,2.438571,Mechanical grinding (automatic grinder / vibrating mill),88.333333,Thermal treatment: 500700 °C; Grinding: 1030 min (or up to 120 min in vibrating mill),0.374286,2.154,12.0,"Cristobalite, amorphous silica (SiO2)",,Amorphous silica and minor cristobalite,600.0,5.0,200.0,22.0
P001,"7, 10, 15",7.0,15.0,"Rice Husk Ash (RHA), RHA-650-60",Rice husks from North of Iran,controlled,Temperature of 650 °C and 60 minutes burning time,89.61,thermal,0.5,0.22,0.04,high,0.91,0.42,1.58,,90.0,Temperature of 650 °C and 60 minutes burning time,0.07,2.15,5.91,Quartz,"P2O5: 0.41, TiO2: 0.02",Quartz,650.0,7.0,3.0,20.0
P001,"7, 10, 15",7.0,15.0,"Rice Husk Ash (RHA), RHA-650-60",Rice husks from North of Iran,controlled,Temperature of 650 °C and 60 minutes burning time,89.61,thermal,0.5,0.22,0.04,high,0.91,0.42,1.58,,90.0,Temperature of 650 °C and 60 minutes burning time,0.07,2.15,5.91,Quartz,"P2O5: 0.41, TiO2: 0.02",Quartz,650.0,7.0,7.0,29.5
P077,"0, 7, 14",0.0,14.0,rice husk ash (RHA),Rice husk,controlled,Combustion at 550 °C; Ground for 30 min,83.1,mechanical,0.5,1.1,2.15,high,4.7,1.5,2.96,Mechanical grinding in a mechanical grinder,,30 min grinding duration,0.1,2.45,1.13,Amorphous SiO2 (broad peak at 2? = 22°),P2O5: 2.05,Amorphous SiO2,550.0,7.0,10.0,20.0
P077,"0, 7, 14",0.0,14.0,rice husk ash (RHA),Rice husk,controlled,Combustion at 550 °C; Ground for 30 min,83.1,mechanical,0.5,1.1,2.15,high,4.7,1.5,2.96,Mechanical grinding in a mechanical grinder,,30 min grinding duration,0.1,2.45,1.13,Amorphous SiO2 (broad peak at 2? = 22°),P2O5: 2.05,Amorphous SiO2,550.0,7.0,10.0,22.0
P077,"0, 7, 14",0.0,14.0,rice husk ash (RHA),Rice husk,controlled,Combustion at 550 °C; Ground for 30 min,83.1,mechanical,0.5,1.1,2.15,high,4.7,1.5,2.96,Mechanical grinding in a mechanical grinder,,30 min grinding duration,0.1,2.45,1.13,Amorphous SiO2 (broad peak at 2? = 22°),P2O5: 2.05,Amorphous SiO2,550.0,7.0,20.0,26.0
P077,"0, 7, 14",0.0,14.0,rice husk ash (RHA),Rice husk,controlled,Combustion at 550 °C; Ground for 30 min,83.1,mechanical,0.5,1.1,2.15,high,4.7,1.5,2.96,Mechanical grinding in a mechanical grinder,,30 min grinding duration,0.1,2.45,1.13,Amorphous SiO2 (broad peak at 2? = 22°),P2O5: 2.05,Amorphous SiO2,550.0,7.0,20.0,29.0
P001,"7, 10, 15",7.0,15.0,"Rice Husk Ash (RHA), RHA-650-60",Rice husks from North of Iran,controlled,Temperature of 650 °C and 60 minutes burning time,89.61,thermal,0.5,0.22,0.04,high,0.91,0.42,1.58,,90.0,Temperature of 650 °C and 60 minutes burning time,0.07,2.15,5.91,Quartz,"P2O5: 0.41, TiO2: 0.02",Quartz,650.0,7.0,28.0,44.5
P077,"0, 7, 14",0.0,14.0,rice husk ash (RHA),Rice husk,controlled,Combustion at 550 °C; Ground for 30 min,83.1,mechanical,0.5,1.1,2.15,high,4.7,1.5,2.96,Mechanical grinding in a mechanical grinder,,30 min grinding duration,0.1,2.45,1.13,Amorphous SiO2 (broad peak at 2? = 22°),P2O5: 2.05,Amorphous SiO2,550.0,7.0,30.0,30.0
P077,"0, 7, 14",0.0,14.0,rice husk ash (RHA),Rice husk,controlled,Combustion at 550 °C; Ground for 30 min,83.1,mechanical,0.5,1.1,2.15,high,4.7,1.5,2.96,Mechanical grinding in a mechanical grinder,,30 min grinding duration,0.1,2.45,1.13,Amorphous SiO2 (broad peak at 2? = 22°),P2O5: 2.05,Amorphous SiO2,550.0,7.0,30.0,32.0
P077,"0, 7, 14",0.0,14.0,rice husk ash (RHA),Rice husk,controlled,Combustion at 550 °C; Ground for 30 min,83.1,mechanical,0.5,1.1,2.15,high,4.7,1.5,2.96,Mechanical grinding in a mechanical grinder,,30 min grinding duration,0.1,2.45,1.13,Amorphous SiO2 (broad peak at 2? = 22°),P2O5: 2.05,Amorphous SiO2,550.0,7.0,30.0,35.7
