paper_id,Paper Title,Authors,Journal Name,Publication Year,DOI (Digital Object Identifier),Material Type::Extracted Value,Source Material::Extracted Value,RHA Processing Method::Extracted Value,RHA Processing Parameters::Extracted Value,Activation Method::Extracted Value,Activation Parameters::Extracted Value,Carbonation Conditions::Extracted Value,Thermal Treatment Temperature::Extracted Value,Thermal Treatment Duration::Extracted Value,Mechanical Activation Method::Extracted Value,Grinding Duration::Extracted Value,Grinding Speed::Extracted Value,Other Activation Conditions::Extracted Value,Water-to-Binder Ratio (w/b)::Extracted Value,Particle Size Distribution::Extracted Value,d10::Extracted Value,d50::Extracted Value,d90::Extracted Value,Mean Particle Size::Extracted Value,Specific Surface Area::Extracted Value,BET Surface Area::Extracted Value,Blaine Fineness::Extracted Value,Water Absorption Capacity::Extracted Value,Specific Gravity::Extracted Value,Bulk Density::Extracted Value,SiO2::Extracted Value,CaO::Extracted Value,Al2O3::Extracted Value,Fe2O3::Extracted Value,MgO::Extracted Value,SO3::Extracted Value,Na2O::Extracted Value,K2O::Extracted Value,Loss on Ignition (LOI)::Extracted Value,Other Reported Oxides::Extracted Value,XRD Phases::Extracted Value,Mineral Composition::Extracted Value,Amorphous Content::Extracted Value,Pozzolanic Reactivity::Extracted Value,Pozzolanic Activity Index::Extracted Value,Strength Activity Index::Extracted Value,Heat Release Data::Extracted Value,Other Reactivity Indicators::Extracted Value,Cement Replacement Level(s)::Extracted Value,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Extracted Value,Compressive Strength::Extracted Value,Relative Compressive Strength (% of control if reported)::Extracted Value,7-Day Heat Release::Extracted Value,Relative Heat Release (% of control if reported)::Extracted Value,Initial Setting Time::Extracted Value,Final Setting Time::Extracted Value,Flexural Strength::Extracted Value,Relative Flexural Strength (% of control if reported)::Extracted Value,Shrinkage::Extracted Value,Relative Shrinkage (% of control if reported)::Extracted Value,Material Type::Unit,Source Material::Unit,RHA Processing Method::Unit,RHA Processing Parameters::Unit,Activation Method::Unit,Activation Parameters::Unit,Carbonation Conditions::Unit,Thermal Treatment Temperature::Unit,Thermal Treatment Duration::Unit,Mechanical Activation Method::Unit,Grinding Duration::Unit,Grinding Speed::Unit,Other Activation Conditions::Unit,Water-to-Binder Ratio (w/b)::Unit,Particle Size Distribution::Unit,d10::Unit,d50::Unit,d90::Unit,Mean Particle Size::Unit,Specific Surface Area::Unit,BET Surface Area::Unit,Blaine Fineness::Unit,Water Absorption Capacity::Unit,Specific Gravity::Unit,Bulk Density::Unit,SiO2::Unit,CaO::Unit,Al2O3::Unit,Fe2O3::Unit,MgO::Unit,SO3::Unit,Na2O::Unit,K2O::Unit,Loss on Ignition (LOI)::Unit,Other Reported Oxides::Unit,XRD Phases::Unit,Mineral Composition::Unit,Amorphous Content::Unit,Pozzolanic Reactivity::Unit,Pozzolanic Activity Index::Unit,Strength Activity Index::Unit,Heat Release Data::Unit,Other Reactivity Indicators::Unit,Cement Replacement Level(s)::Unit,Optimum Replacement Level of Cement with Rice Husk Ash (RHA)::Unit,Compressive Strength::Unit,Relative Compressive Strength (% of control if reported)::Unit,7-Day Heat Release::Unit,Relative Heat Release (% of control if reported)::Unit,Initial Setting Time::Unit,Final Setting Time::Unit,Flexural Strength::Unit,Relative Flexural Strength (% of control if reported)::Unit,Shrinkage::Unit,Relative Shrinkage (% of control if reported)::Unit
10,Contribution of Rice Husk Ash to the Properties of Mortar and Concrete: A Review,"Alireza Naji Givi, Suraya Abdul Rashid, Farah Nora A. Aziz, Mohamad Amran Mohd Salleh",Journal of American Science,2010,,Rice Husk Ash (RHA),Rice husk,Incineration,,,,,,,Grinding,,,Hydrochloric acid pretreatment,,,,,,"7.4
31.3
18.3
11.5",,,,,"2.06
2.06
2.10",,"87.2
87.3
86.98","0.55
0.55
1.40","0.15
0.15
0.84","0.16
0.16
0.73","0.35
0.35
0.57","0.24
0.24
0.11","1.12
1.12
2.46","3.68
3.68
NULL","8.55
8.55
5.14",,Non-crystalline silicon dioxide,,85% to 95%,,,,183.20,,"5, 10, 12, 15, 20, 25, 30, 40, 50","10% to 30%
15%
10%
15%
30%
25%",,,,,"1
1.5
3
3.1
3.4","3.25
3.5
4.25
5.25
5.5","28 days: 5.5
90 days: 5.4
180 days: 4.9
28 days: 5.0
90 days: 5.4
180 days: 5.7
28 days: 5.2
90 days: 5.7
180 days: 6.1",,,,,,,,,,,,,,,,,,,,,,µm,,,,,g/cm³,,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,Wt. %,,,,Wt. %,,,,J/g (36 hours),,%,%,,,,,h-min,h-min,MPa,,,
11,Study on Properties of Rice Husk Ash and Its Use as Cement Replacement Material,"Ghassan Abood Habeeb, Hilmi Bin Mahmud",Materials Research,2010,,"Rice Husk Ash (RHA), RHA powder",Rice husk,"Burning in a ferro-cement furnace, followed by grinding using a Los Angeles (LA) mill","Burning capacity up to 60 kg; ignited for around 10 minutes; slow burning for more than 1 day; maximum temperature not exceeding 690°C; cooling inside furnace. Grinding: 5 kg ash capacity, 40 mild steel rods (10 mm diameter, 500 mm length), grinding times of 90, 180, 270, and 360 minutes","Thermal treatment, Mechanical activation",Controlled thermal burning in a ferro-cement furnace; mechanical grinding in a Los Angeles (LA) mill,,<= 690,> 24,Grinding in Los Angeles (LA) mill,"90, 180, 270, 360",,,0.53,Figure 7,,,,RHAFO (90 min): 63.8; RHAF1 (180 min): 31.3; RHAF2 (270 min): 18.3; RHAF3 (360 min): 11.5,RHAFO: 25.3; RHAF1: 27.4; RHAF2: 29.1; RHAF3: 30.4,RHAFO: 25.3; RHAF1: 27.4; RHAF2: 29.1; RHAF3: 30.4,,,2.11,,88.32,0.67,0.46,0.67,0.44,,0.12 (reported as Na2O3),2.91,5.81,,Amorphous silica,Broad peak at 2? angle of 22° (amorphous form),Mainly amorphous,Efficient pozzolanic material; reactivity increases with RHA fineness,,,,,"5, 10, 15, 20",10,"1-Day: 17.2 to 20.3; 3-Day: 24.5 to 29.6; 7-Day: 29.8 to 36.7; 28-Day: 40.2 to 51.8 (Control Mix: 1-Day: 19.1, 3-Day: 26.7, 7-Day: 30.2, 28-Day: 39.6)",At 10% replacement level at 28 days: 10F1: 122.2%; 10F2: 126.7%; 10F3: 130.8%,,,,,,,,,,,,,,,,°C,hours,,minutes,,,,,,,,µm,m²/g,m²/g,,,,,% by mass,% by mass,% by mass,% by mass,% by mass,,% by mass,% by mass,% by mass,,,,,,,,,,%,%,MPa,%,,,,,,,,
12,Effect of rice-husk ash on durability of cementitious materials,Gemma Rodríguez de Sensale,Cement & Concrete Composites,2010,10.1016/j.cemconcomp.2010.07.008,Rice-husk ash (RHA) / residual RHA (RRHA) / controlled RHA (CRHA),Rice husk (parboiling process in Uruguay for residual RHA; controlled incineration from the United States for CRHA),Dry-milling (for residual RHA); Controlled incineration (for CRHA),Dry-milled for the necessary time to obtain a median particle size of 8 µm,Mechanical activation (dry-milling for residual RHA),"Dry-milled to reach median particle size of 8 µm, defined specific surface by nitrogen absorption, and maximum activity index per ASTM C311-98b",,,,Dry-milling,,,,"0.32, 0.40, 0.50 (concretes & mortars); 0.47 (mortars for ASR)",,,RRHA: 8; CRHA: 8,,RRHA: 8; CRHA: 8,,RRHA: 28800; CRHA: 24300,,,RRHA: 2.06; CRHA: 2.16,,RRHA: 87.2; CRHA: 88,RRHA: 0.55; CRHA: 0.8,RRHA: 0.15; CRHA: 0,RRHA: 0.16; CRHA: 0.1,RRHA: 0.35; CRHA: 0.2,RRHA: 0.32; CRHA: NULL,RRHA: 1.12; CRHA: 0.7,RRHA: 3.60; CRHA: 2.2,RRHA: 6.55; CRHA: 8.1,"MnO (CRHA: 0.2%, RRHA: NULL)",Cristobalite (RRHA); Amorphous (CRHA),Cristobalite (for RRHA),CRHA: 98.5%; RRHA: 39.55% (reactive silica content),"Reactive silica: CRHA = 98.5%, RRHA = 39.55%",RRHA: 92.93; CRHA: 92.4,RRHA: 92.93; CRHA: 92.4,,,"5, 10, 15 (concretes & mortars); 20, 30, 40 (mortars for ASR)",15% (for chloride penetration); 20% (CRHA for ASR); 30% (RRHA for ASR),,,,,,,,,,,,,,,,,,,,,,,,,,,µm,,µm,,m²/kg,,,,,%,%,%,%,%,%,%,%,%,%,,,%,%,%,%,,,%,%,MPa,%,,%,min,min,,%,,%
13,Effect of rice husk ash fineness on the chemical and physical properties of concrete,"B. H. Abu Bakar, P. J. Ramadhansyah, M. J. Megat Azmi",Magazine of Concrete Research,2011,10.1680/macr.10.00019,Rice husk ash (RHA),Rice husk,Thermal combustion / burning,"Temperature: 700, Duration: 6, Heating rate: 10",Mechanical activation (Grinding / Milling),"Porcelain mill (14×23.5 cm), 150 g RHA batch, Porcelain balls (Ø30 mm: 20 pcs, Ø20 mm: 40 pcs, Ø10 mm: 300 pcs), Speed: 76 rev/min",,700,6,Laboratory ball mill grinding,0; 30; 60; 90; 120; 180; 240; 300,76,,0.49,Particle size distribution curves shown in Figure 5,,,,RHA0: 17.97 (or 17.96); RHA1: 10.93; RHA2: 9.74; RHA3: 9.52; RHA4: 9.34; RHA5: 8.70; RHA6: 6.85; RHA7: 6.65,,Reported qualitatively via nitrogen absorption technique,RHA1 (30 min): 2830; RHA3 (90 min): 5290; RHA7 (300 min): 14700,,RHA0: 1.82; RHA1: 1.94; RHA2: 1.95; RHA3: 1.95; RHA4: 1.97; RHA5: 1.98; RHA6: 2.01; RHA7: 2.06,,RHA0: 93.00; RHA1: 90.00; RHA2: 91.00; RHA3: 90.99; RHA4: 90.87; RHA5: 90.70; RHA6: 93.70; RHA7: 92.9,RHA0: 0.49; RHA1: 0.46; RHA2: 0.40; RHA3: 0.41; RHA4: 0.49; RHA5: 0.40; RHA6: 0.60; RHA7: 0.41,RHA0: 0.20; RHA1: 0.39; RHA2: 0.10; RHA3: 0.23; RHA4: 0.14; RHA5: 0.40; RHA6: 0.30; RHA7: 0.18,RHA0: 0.13; RHA1: 0.37; RHA2: 0.10; RHA3: 0.26; RHA4: 0.95; RHA5: 0.40; RHA6: 0.20; RHA7: 0.43,RHA0: 0.73; RHA1: 0.88; RHA2: 0.90; RHA3: 0.73; RHA4: 0.65; RHA5: 0.50; RHA6: 0.40; RHA7: 0.35,RHA0: 0.15; RHA1: 0.15; RHA2: 0.50; RHA3: 0.08; RHA4: 0.09; RHA5: 0.10; RHA6: 0.10; RHA7: 0.10,RHA0: 0.02; RHA1: 0.02; RHA2: 0.15; RHA3: 0.02; RHA4: 0.25; RHA5: 0.10; RHA6: 0.20; RHA7: 0.02,RHA0: 1.30; RHA1: 3.10; RHA2: 3.30; RHA3: 2.19; RHA4: 2.16; RHA5: 2.20; RHA6: 1.40; RHA7: 0.72,RHA0: 3.98; RHA1: 4.63; RHA2: 3.55; RHA3: 5.09; RHA4: 4.40; RHA5: 5.20; RHA6: 3.10; RHA7: 4.89,,Quartz mineral group,"Amorphous silica, quartz mineral group",Amorphous silica formation,High pozzolanic reaction of fine RHA / reactivity attributed to high content of amorphous silica and large surface area,,"7-day: OPC: 100; RHA0: 67; RHA1: 73; RHA2: 75; RHA3: 108; RHA4: 88; RHA5: 86; RHA6: 85; RHA7: 71 (graph-derived values)
28-day: OPC: 100; RHA0: 68; RHA1: 75; RHA2: 79; RHA3: 104; RHA4: 87; RHA5: 82; RHA6: 83; RHA7: 74 (graph-derived values)",,RHA3 Strength Activity Index increased by 31.94% (7 days) and 38.25% (28 days) over unground RHA,15,15% dosage used; optimum grinding time is 90 min (RHA3),"7-day range: 19.8433.88; 28-day range: 28.7742.64
7-day: OPC: 30.5; RHA0: 20.5; RHA1: 22.5; RHA2: 23.2; RHA3: 33.88; RHA4: 27.0; RHA5: 26.4; RHA6: 26.0; RHA7: 21.8 (graph-derived values)
28-day: OPC: 41.0; RHA0: 29.0; RHA1: 32.0; RHA2: 33.8; RHA3: 42.64; RHA4: 37.2; RHA5: 35.1; RHA6: 35.5; RHA7: 31.8 (graph-derived values)","At 7 and 28 days respectively, the strength of the RHA3 mix was 8.64 and 4.05% higher than that of the OPC concrete",,,,,,,,,,,,"°C, h, °C/min",,,,°C,h,,min,rev/min,,,,,,,µm,,,g/cm²,,g/cm³,,%,%,%,%,%,%,%,%,%,,,,,,,%,,%,%,% / min,N/mm²,%,,,,,,,,
14,Effect of rice husk ash on the strength and durability characteristics of concrete,"Hwang Chao-Lung, Bui Le Anh-Tuan, Chen Chun-Tsun",Construction and Building Materials,2011,10.1016/j.conbuildmat.2011.04.009,"Rice husk ash (RHA), ground RHA, non-ground RHA, residual rice husk ash (RHA)",Rice husk / Rice husk pellets,Incineration / burning of rice husk pellets in a boiler followed by ball mill grinding,Burning temperature: 600800,Mechanical activation (grinding),Grinding duration: 1 h (60 min),,600800,,Ball mill grinding,1 h (60 min),,,"0.23, 0.35, 0.47",,,,,Non-ground RHA: 87; Ground RHA: 12,,,,,2.06,,91,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,P2O5: 0.98,Mostly amorphous silica and partially crystalline silica (Cristobalite high-SiO2),Cristobalite high-SiO2,Mostly amorphous,Water requirement of non-ground RHA mortar: 117%; Water requirement of ground RHA mortar: 110%,,Non-ground RHA mortar (28 days): 72%; Ground RHA mortar (7 days): 82%; Ground RHA mortar (28 days): 97%,,,"0, 10, 20, 30",Up to 20,"Mix A23-10: 1-day = 41, 3-day = 59, 7-day = 62, 14-day = 63, 28-day = 66, 56-day = 69, 91-day = 74; 
Mix A35-00: 1-day = 30, 3-day = 50, 7-day = 46, 14-day = 54, 28-day = 56, 56-day = 60, 91-day = 67; 
Mix A35-10: 1-day = 27, 3-day = 47, 7-day = 41, 14-day = 52, 28-day = 61, 56-day = 62, 91-day = 67; 
Mix A35-20: 1-day = 26, 3-day = 38, 7-day = 47, 14-day = 52, 28-day = 60, 56-day = 61, 91-day = 69; 
Mix A35-30: 1-day = 19, 3-day = 32, 7-day = 43, 14-day = 51, 28-day = 54, 56-day = 60, 91-day = 64; 
Mix A47-10: 1-day = 16, 3-day = 26, 7-day = 37, 14-day = 40, 28-day = 47, 56-day = 51, 91-day = 56",,,,,,,,,,,,,°C,,h,,°C,,,h,,,,,,,,µm,,,,,,,%,,%,%,%,%,%,%,%,%,,,,%,,%,,,%,%,MPa,,,,,,,,,
15,Study on Strength Characteristics of High Strength Rice Husk Ash Concrete,"RAVANDE KISHORE, V.BHIKSHMA AND P.JEEVANA PRAKASH",Procedia Engineering,2011,10.1016/j.proeng.2011.07.335,Rice Husk Ash,Rice Husk,Burning / Incineration,,,,,,,,,,,"0.36 (for M40), 0.35 (for M50)",,,,,,,,,,2.27,,80-85%,,,,,,,,,,,,,Highly reactive,,,,,"0%, 5%, 10%, 15%",10%,"M40 7-Day: 37.20 (0%), 35.34 (5%), 34.12 (10%), 30.36 (15%)
M40 28-Day: 50.80 (0%), 48.26 (5%), 44.72 (10%), 43.18 (15%)
M40 90-Day: 51.74 (0%), 49.15 (5%), 47.08 (10%), 45.04 (15%)
M50 7-Day: 48.31 (0%), 42.00 (5%), 38.40 (10%), 37.37 (15%)
M50 28-Day: 59.37 (0%), 56.40 (5%), 53.43 (10%), 50.46 (15%)
M50 90-Day: 62.50 (0%), 58.36 (5%), 56.40 (10%), 52.50 (15%)",,,,,,"M40 28-Day: 4.87 (0%), 4.40 (5%), 4.34 (10%), 4.17 (15%)
M50 28-Day: 5.36 (0%), 4.87 (5%), 4.76 (10%), 4.72 (15%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,,,,,,,,,,,,,,,%,%,MPa,,,,,,MPa,,,
16,Mechanical properties and durability assessment of rice husk ash concrete,"Rahmat Madandoust, Malek Mohammad Ranjbar, Hamed Ahmadi Moghadam, Seyed Yasin Mousavi",Biosystems Engineering,2011,10.1016/j.biosystemseng.2011.07.009,Rice Husk Ash (RHA),Rice husk,Burning heaped up rice husk obtained from controlled pre-processing / controlled burning / incinerating,Temperature in the range of 650°C,Mechanical grinding,Ground in laboratory batch 2ball mill; passing through sieve No. 325 (sieve opening 45 µm),,,,Laboratory batch 2ball mill,,,,0.53,Mostly angular edged grains with different particle sizes; passing through sieve No. 325 (45 µm),,,,,,,376.8,,,429.1,90.9,0.8,0.83,0.6,0.56,,,,,Na?O + K?O: 1.55,"Amorphous silica, Cristobalite, Tridymite, Quartz",,High content of amorphous silica,,81.25,,,,"0, 5, 10, 15, 20, 25, 30",20,"NC: 35.4 (28-d), 43.5 (90-d), 46.0 (270-d), 47.0 (360-d)
CR5: 33.6 (28-d)
CR10: 32.4 (28-d)
CR15: 32.1 (28-d), 42.5 (90-d), 46.4 (270-d), 47.5 (360-d)
CR20: 30.8 (28-d), 41.7 (90-d), 46.7 (270-d), 47.8 (360-d)
CR25: 29.7 (28-d), 38.5 (90-d), 45.6 (270-d), 43.7 (360-d)
CR30: 26.6 (28-d)","28 days:
CR5: 95%
CR10: 92%
CR15: 88%
CR20: 85%
CR25: 79%
CR30: 74%

CR20 at specific ages:
3 days: 65%
90 days: 96%
180 days: 98%
360 days: 102%",,,,,,,,,,,,°C,,µm,,,,,,,,,µm,,,,,,,m²kg?¹,,,kg m?³,wt.%,wt.%,wt.%,wt.%,wt.%,,,,,wt.%,,,,,%,,,,%,%,MPa,%,,,,,,,,
17,The study of using rice husk ash to produce ultra high performance concrete,"Nguyen Van Tuan, Guang Ye, Klaas van Breugel, Alex L.A. Fraaij, Bui Danh Dai",Construction and Building Materials,2011,10.1016/j.conbuildmat.2010.11.046,Rice Husk Ash (RHA),Rice husk from Vietnam,"Burnt in a drum incinerator under uncontrolled combustion conditions, followed by grinding in a vibrating ball mill or planetary ball mill.","Vibrating ball mill grinding time: 30 min (for 9 µm), 60 min (for 6.3 µm), 90 min (for 5.6 µm); Planetary ball mill grinding time: 3 h (for 3.6 µm).",Mechanical activation,,,,,Ball milling (vibrating ball mill / planetary ball mill),30; 60; 90; 180,,,"0.18 (also studied 0.15, 0.20, 0.23)",Particle size distribution shown in Fig. 1,,,,3.6; 5.6; 6.3; 9.0 (General range reported as 5 to 10),>250,,,,,,87.96 (General range reported as 90-96),,,,,,,,3.81,,Amorphous,,87.96,"Classified as ""a highly active pozzolan""",,,RHA stimulates cement hydration as determined by isothermal calorimetry,,0; 5; 10; 15; 20; 30,10% (in combination with 10% SF for maximum synergic effect); 20% (for RHA binary blend at 28 and 91 days),"Binary RHA (5.6 µm, w/b=0.18):
- 10% RHA: 134.5 (3d), 152.0 (7d), 165.0 (28d), 178.0 (91d)
- 20% RHA: 122.0 (3d), 143.0 (7d), 175.0 (28d), 186.0 (91d)
Ternary (10% SF + RHA 5.6 µm, w/b=0.18):
- 10% SF + 0% RHA: 123.0 (3d), 152.0 (7d), 170.0 (28d), 194.0 (91d)
- 10% SF + 10% RHA: 135.5 (3d), 159.5 (7d), 185.5 (28d), 205.5 (91d)
- 10% SF + 20% RHA: 105.0 (3d), 136.0 (7d), 165.0 (28d), 171.5 (91d)
- 10% SF + 30% RHA: 85.5 (3d), 118.5 (7d), 154.0 (28d), 167.0 (91d)
Effect of RHA Fineness (20% RHA, w/b=0.18):
- 3.6 µm: 96.0 (1d), 147.0 (3d), 155.0 (7d), 180.0 (28d), 205.0 (91d)
- 5.6 µm: 81.0 (1d), 122.0 (3d), 143.0 (7d), 175.0 (28d), 186.0 (91d)
- 6.3 µm: 80.0 (1d), 102.0 (3d), 135.0 (7d), 161.0 (28d), 178.0 (91d)
- 9.0 µm: 51.0 (1d), 96.0 (3d), 115.0 (7d), 134.0 (28d), 156.0 (91d)
(Note: Values extracted from Graphs/Figures)",,,,,,,,,,,,,,,,,,,,min,,,,,,,,µm,m2/g,,,,,,%,,,,,,,,%,,,,%,,,,,,% by weight,% by weight,MPa,%,,%,min / h,min / h,MPa,%,,%
18,Production of rice husk ash for use in concrete as a supplementary cementitious material,"M.F.M. Zain, M.N. Islam, F. Mahmud, M. Jamil",Construction and Building Materials,2011,10.1016/j.conbuildmat.2010.07.003,Rice husk ash (RHA),Rice husk,"Three combustion methods (A, B, C) and two grinding methods using a Los Angeles machine","Method A: Fire duration 60 min, Air supply duration 90 min, Chilling duration 1 day. Method B: Fire duration 30 min, Air supply duration 60 min, Chilling duration 1 day. Method C: Fire duration 30 min, Air supply duration 60 min, Chilling duration 2 days. Grinding: ~5.0 kg of ash per grinding.",,,,,,,,,,,,,,,"49.00 (15 min grinding), 40.97 (60 min grinding), 16.63 (120 min grinding)",,,,,,,"79.84 (Method A), 80.72 (Method B), 86.49 (Method C)","1.16 (Method A), 1.10 (Method B), 0.56 (Method C)","0.14 (Method A), 0.08 (Method B), 0.01 (Method C)","0.55 (Method A), 0.55 (Method B), 0.91 (Method C)","0.19 (Method A), 0.18 (Method B), 0.13 (Method C)","0.01 (Method A), 0.04 (Method B), 0.00 (Method C)","0.08 (Method A), 0.00 (Method B), 0.05 (Method C)","2.90 (Method A), 3.14 (Method B), 2.70 (Method C)","14.26 (Method A), 13.22 (Method B), 8.45 (Method C)","P2O5: 0.80 (A), 0.90 (B), 0.69 (C); TiO2: 0.06 (A), 0.07 (B), 0.07 (C); MnO: 0.07 (A), NULL (B), NULL (C)",Amorphous silica,,,,,,,,,,,,,,,,,,,,,,,"min, day, kg",,,,°C,,,minute,,,,,?m,?m,?m,?m,,,,,,,%,%,%,%,%,%,%,%,%,%,,,,,,,,,,,MPa,%,,%,,,MPa,%,,%
19,Concrete incorporating rice-husk ash without processing,"R. Zerbino, G. Giaccio, G.C. Isaia",Construction and Building Materials,2011,10.1016/j.conbuildmat.2010.06.016,"Natural RHA (NRHA), Grinded RHA (GRHA), Residual RHA",Rice husk / Open field burning residual RHA,Open field burning (for raw ash production); Drying and homogenizing for NRHA; Laboratory ball mill grinding for GRHA,Ball mill grinding for 1 hour (for GRHA),Mechanical activation (ball mill grinding for GRHA; mixing together with coarse aggregates for NRHA),1 hour in laboratory ball mill (GRHA) / 2 to 8 minutes mixing with coarse aggregates (NRHA),,,,Laboratory ball mill grinding (GRHA) / Aggregate-interparticle grinding during mixing (NRHA),1 hour (GRHA),,,"0.45, 0.55, 0.65 (Preliminary series); 0.55 (Main program)","Passing #50: 47% (NRHA Original), 81% (NRHA after 10 min mixing), 100% (GRHA); Passing #100: 23% (NRHA Original), 39% (NRHA after 10 min mixing), 100% (GRHA); Passing #200: 18% (NRHA Original), 15% (NRHA after 10 min mixing), 95% (GRHA)",,,,Main size ranged between 4 and 6 ?m (up to 100 ?m) for GRHA,,,,,,,95.04 (NRHA); 94.84 (GRHA),1.25 (NRHA); 1.32 (GRHA),0.30 (NRHA); 0.39 (GRHA),0.44 (NRHA); 0.54 (GRHA),0.45 (NRHA); 0.40 (GRHA),0.01 (NRHA); 0.01 (GRHA),0.09 (NRHA); 0.11 (GRHA),1.40 (NRHA); 1.45 (GRHA),0.51 (NRHA); 0.25 (GRHA),,"Vitreous material, Cristobalite",Cristobalite,Significant amount of vitreous material,Important pozzolanic capacity (GRHA) / Pozzolanic contribution observed,,,,,"15, 25",15,"Preliminary Series (w/b 0.45, 0.55, 0.65 at 7, 28, 90, 365 d):
GRAPH-DERIVED

Main Program (28-day, 100 L batches, w/b 0.55):
G15: 33.3
N15: 30.3","Residual after 500 °C (% of 28-d control/reference):
G15: 102
N15: 87

Residual after 700 °C:
G15: 46
N15: 40",,,,,"Matrix Modulus of Rupture (MMR):
21-day: G (7.3), N (6.4)
110-day: G (8.4), N (7.4)

Interfaces Modulus of Rupture (IMR):
21-day: G (2.8), N (2.6)
110-day: G (3.4), N (3.1)",,~350 to 400 (at 500 days),,,,,hours,,,,,,,hours,,,,%,,,,?m,,,,,,,%,%,%,%,%,%,%,%,%,,,,,,,,,,%,%,MPa,%,,,,,MPa,,?m/m (10??),
20,Strength of Mortar and Concrete as Influenced by Rice Husk Ash: A Review,"M.R. Karim, M.F.M. Zain, M. Jamil, F.C. Lai, M.N. Islam",World Applied Sciences Journal,2012,10.5829/idosi.wasj.2012.19.10.533,Rice husk ash (RHA),Rice husk,Combustion / Burning / Incineration,burning temperature < 700°C,,,,,,,,,,,,,,,5 to 10,20 to 50,28800,4750; 5750; 11200,,2.0 to 2.4,,>80,0.4 to 3.82,0.15 to 2.1,0.1 to 0.93,0.1 to 0.35,0.1 to 0.9,0.0 to 3.14,0.0 to 3.6,0.9 to 8.65,,,Non-crystalline silica / Amorphous silica,85% to 95%,High,,,,Jander diffusion equation kinetic parameter,2030%,2030%,,,,,,,,,,,,,,°C,,,,,,,,,,,,,,,µm,m²/kg,m²/kg,cm²/g,,,,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,wt. %,,,,wt. %,,,,,,%,%,,,,,,,,,,
21,Reduction in environmental problems using rice-husk ash in concrete,"Rawaid Khan, Abdul Jabbar, Irshad Ahmad, Wajid Khan, Akhtar Naeem Khan, Jahangir Mirza",Construction and Building Materials,2012,10.1016/j.conbuildmat.2011.11.028,Rice-husk ash (RHA),Rice-husk,"Thermal treatment (controlled burning/incineration) followed by cooling, rod mill grinding, and sieving",Burning temperature: 800 °C; Yield: 22%; Cooling method: Rapid cooling (21±1 °C in trays) or Slow cooling (left in incinerator); Sieve mesh size: 200 or 325 µm,Thermal treatment; Mechanical activation (grinding),Temperature: 800 °C; Grinding apparatus: Rod mill,,800,,Rod mill grinding,,,Rapid cooling at 21±1 °C or slow cooling in incinerator,0.70; 0.77; 0.87; 0.95; 0.7,,,,,,,,,,2.1,,Rapid cooled: 84.00; Slow cooled: 89.50,Rapid cooled: 0.60; Slow cooled: 0.30,Rapid cooled: 1.39; Slow cooled: 0.40,Rapid cooled: 2.01; Slow cooled: 2.86,Rapid cooled: 0.85; Slow cooled: 0.25,,,,Rapid cooled: 5.85; Slow cooled: 4.0,,Amorphous hump; Crystalline SiO2 (major peak at 26.64° 2-theta),"Amorphous silica, Crystalline silica (SiO2)",,Slow cooled RHA: 2.34; Rapid cooled RHA: 2.90,,,Low heat of hydration,Neutralisation of NaOH,"25, 40, 50 (without SP); 25, 40 (with SP); 25, 30, 40 (beams/mortars)",25,"Concrete without SP (3-d, 7-d, 14-d, 28-d):
0% RHA: 13.40, 16.08, 21.34 MPa (7-d, 14-d, 28-d);
25% RHA: 5.97, 8.31, 10.86, 15.38 MPa;
40% RHA: 4.28, 6.57, 8.52, 11.46 MPa;
50% RHA: 4.68, 3.06, 6.72, 8.92 MPa.

Concrete with SP (7-d, 14-d, 28-d):
0% RHA: 13.40, 16.08, 21.34 MPa;
25% RHA: 12.27, 15.28, 21.10 MPa;
40% RHA: 9.79, 12.06, 17.10 MPa.

Mortar after 70-d immersion in Sulphate solution:
0% RHA: ~42 MPa; 25% RHA: ~47 MPa; 30% RHA: ~45 MPa; 40% RHA: ~41 MPa (GRAPH-DERIVED).

Mortar after 70-d immersion in Chloride solution:
0% RHA: ~20 MPa; 25% RHA: ~21.5 MPa; 30% RHA: ~20.5 MPa; 40% RHA: ~19 MPa (GRAPH-DERIVED).","Without SP (3-d, 7-d, 14-d, 28-d):
100/0: 100%, 100%, 100%, 100%;
75/25: ~67%, ~62%, ~68%, ~72%;
60/40: ~48%, ~49%, ~53%, ~54%;
50/50: ~34%, ~35%, ~42%, ~42% (GRAPH-DERIVED).

With SP (7-d, 14-d, 28-d):
100/0: 100%, 100%, 100%;
75/25: ~93%, ~95%, ~99%;
60/40: ~73%, ~75%, ~80% (GRAPH-DERIVED).",,,,,"Load at failure (kN):
0% RHA: 54 kN (text) / ~54 kN (graph);
25% RHA: 51 kN (text) / ~51 kN (graph);
30% RHA: ~47 kN;
40% RHA: ~32 kN (GRAPH-DERIVED).",,,,,,,,,,,°C,,,,,,,,,,,,,,,,,,%,%,%,%,%,,,,%,,,,,m mol/g,,,,m mol/g,%,%,MPa,%,,,,,kN,,,
