paper_id,Paper Title,Mix ID,Replacement Level,Activation Method,Key Processing Parameters,Reported Strength
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type E (5.0%),"25% Slag, 5.0% RCF",,Dried at 40°C,"3-day: +6%, 28-day: -8%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type F (5.0%),"25% Slag, 5.0% RCF",,Dried at 40°C,"3-day: +8%, 28-day: +9%"
2,Evaluating and Optimizing Recycled Concrete Fines in PCC Mixtures Containing Supplementary Cementitious Materials,Fine Type H (7.5%),"25% Slag, 7.5% RCF",,Dried at 40°C,"3-day: +4%, 28-day: +16%"
3,Utilization of waste concrete powder as a substitution material for cement,WCP1 - 0% (Control),0%,,Fixed W/B: 0.55,Graphically reported in Fig. 11
3,Utilization of waste concrete powder as a substitution material for cement,WCP1 - 15%,15%,,Fixed W/B: 0.55,Graphically reported in Fig. 11 (28-day: 28% decrease)
3,Utilization of waste concrete powder as a substitution material for cement,WCP1 - 30%,30%,,Fixed W/B: 0.55,Graphically reported in Fig. 11
3,Utilization of waste concrete powder as a substitution material for cement,WCP1 - 45%,45%,,Fixed W/B: 0.55,Graphically reported in Fig. 11 (28-day: 73% decrease)
3,Utilization of waste concrete powder as a substitution material for cement,WCP2 - 0% (Control),0%,,Fixed W/B: 0.55,Graphically reported in Fig. 12
3,Utilization of waste concrete powder as a substitution material for cement,WCP2 - 15%,15%,,Fixed W/B: 0.55,Graphically reported in Fig. 12 (28-day: 25% decrease)
3,Utilization of waste concrete powder as a substitution material for cement,WCP2 - 30%,30%,,Fixed W/B: 0.55,Graphically reported in Fig. 12
3,Utilization of waste concrete powder as a substitution material for cement,WCP2 - 45%,45%,,Fixed W/B: 0.55,Graphically reported in Fig. 12 (28-day: 64% decrease)
4,A study on development of recycled cement made from waste cementitious powder,S0,0% fine aggregate addition,Sintering / Calcination,"Firing Temp: 1200–1450 °C, Time: 60–90 min",32.87 MPa (90-day)
4,A study on development of recycled cement made from waste cementitious powder,S10,10% fine aggregate addition,Sintering / Calcination,"Firing Temp: 1200–1450 °C, Time: 60–90 min",26.79 MPa (90-day)
4,A study on development of recycled cement made from waste cementitious powder,S30,30% fine aggregate addition,Sintering / Calcination,"Firing Temp: 1200–1450 °C, Time: 60–90 min",24.75 MPa (90-day)
4,A study on development of recycled cement made from waste cementitious powder,S50,50% fine aggregate addition,Sintering / Calcination,"Firing Temp: 1200–1450 °C, Time: 60–90 min",44.32% of OPC (90-day)
4,A study on development of recycled cement made from waste cementitious powder,S65,65% fine aggregate addition,Sintering / Calcination,"Firing Temp: 1200–1450 °C, Time: 60–90 min",46.51% of OPC (90-day)
5,Reuse of recycled crushed concrete fines as mineral addition in cementitious materials,Ref,0%,,,"2 days: 26.6 ± 0.89 MPa
7 days: 36.8 ± 0.26 MPa
28 days: 45.8 ± 1.45 MPa
90 days: 52.0 ± 2.15 MPa"
5,Reuse of recycled crushed concrete fines as mineral addition in cementitious materials,RCCF 25,25% (by volume),,Concrete crushed and sieved at 80 μm,"2 days: 24.8 ± 1.32 MPa
7 days: 32.7 ± 0.27 MPa
28 days: 38.4 ± 0.46 MPa
90 days: 38.7 ± 2.24 MPa"
5,Reuse of recycled crushed concrete fines as mineral addition in cementitious materials,RCCF 50,50% (by volume),,Concrete crushed and sieved at 80 μm,"2 days: 10.7 ± 0.14 MPa
7 days: 14.0 ± 0.06 MPa
28 days: 16.4 ± 0.19 MPa
90 days: 17.3 ± 0.91 MPa"
5,Reuse of recycled crushed concrete fines as mineral addition in cementitious materials,RCCF 75,75% (by volume),,Concrete crushed and sieved at 80 μm,"2 days: 2.5 ± 0.05 MPa
7 days: 5.7 ± 0.23 MPa
28 days: 4.2 ± 0.19 MPa
90 days: 4.6 ± 0.91 MPa"
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-S,100% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 45.22 MPa; Flexural: 8.76 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-D,100% (Sand Replacement),,Heated at 105 °C for 24 h (Dried),Compressive: 49.84 MPa; Flexural: 8.78 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.55-S,100% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 43.01 MPa; Flexural: 8.10 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.55-D,100% (Sand Replacement),,Heated at 105 °C for 24 h (Dried),Compressive: 45.34 MPa; Flexural: 8.15 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-S,100% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 41.96 MPa; Flexural: 7.72 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-D,100% (Sand Replacement),,Heated at 105 °C for 24 h (Dried),Compressive: 43.76 MPa; Flexural: 7.80 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-10,10% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 66.63 MPa; Flexural: 13.06 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-20,20% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 64.58 MPa; Flexural: 12.05 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-30,30% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 57.23 MPa; Flexural: 10.86 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-50,50% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 53.84 MPa; Flexural: 10.53 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-100,100% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 42.09 MPa; Flexural: 8.54 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-10,10% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 51.17 MPa; Flexural: 10.55 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-20,20% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 49.32 MPa; Flexural: 10.21 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-30,30% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 47.37 MPa; Flexural: 10.00 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-50,50% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 46.92 MPa; Flexural: 9.16 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-100,100% (Sand Replacement),,Presaturated 24 h before mixing,Compressive: 39.14 MPa; Flexural: 8.00 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-0/0.63,29.31% by volume,,Fraction 0/0.63 mm replaced; Presaturated,Compressive: 45.55 MPa; Flexural: 10.19 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-0.63/1.25,20.50% by volume,,Fraction 0.63/1.25 mm replaced; Presaturated,Compressive: 52.54 MPa; Flexural: 9.66 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-1.25/2.5,32.08% by volume,,Fraction 1.25/2.5 mm replaced; Presaturated,Compressive: 52.22 MPa; Flexural: 9.83 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.5-2.5/5,17.79% by volume,,Fraction 2.5/5 mm replaced; Presaturated,Compressive: 58.32 MPa; Flexural: 11.22 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-0/0.63,29.31% by volume,,Fraction 0/0.63 mm replaced; Presaturated,Compressive: 44.29 MPa; Flexural: 9.24 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-0.63/1.25,20.50% by volume,,Fraction 0.63/1.25 mm replaced; Presaturated,Compressive: 50.06 MPa; Flexural: 9.67 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-1.25/2.5,32.08% by volume,,Fraction 1.25/2.5 mm replaced; Presaturated,Compressive: 50.85 MPa; Flexural: 9.77 MPa
6,Influence of fine recycled concrete aggregates on the properties of mortars,RM-0.6-2.5/5,17.79% by volume,,Fraction 2.5/5 mm replaced; Presaturated,Compressive: 52.08 MPa; Flexural: 10.38 MPa
7,PROPERTIES AND MICROSTRUCTURE OF CEMENT PASTE INCLUDING RECYCLED CONCRETE POWDER,CEM (ref),0%,,,52.1 MPa (Compressive) / 4.0 MPa (Flexural)
7,PROPERTIES AND MICROSTRUCTURE OF CEMENT PASTE INCLUDING RECYCLED CONCRETE POWDER,RCP 5 (5%),5 wt%,Mechanical Activation,Milled at high speed,57.3 MPa (Compressive) / 4.3 MPa (Flexural)
7,PROPERTIES AND MICROSTRUCTURE OF CEMENT PASTE INCLUDING RECYCLED CONCRETE POWDER,RCP 10 (10%),10 wt%,Mechanical Activation,Milled at high speed,50.2 MPa (Compressive) / 4.2 MPa (Flexural)
7,PROPERTIES AND MICROSTRUCTURE OF CEMENT PASTE INCLUDING RECYCLED CONCRETE POWDER,RCP 15 (15%),15 wt%,Mechanical Activation,Milled at high speed,51.8 MPa (Compressive) / 5.0 MPa (Flexural)
7,PROPERTIES AND MICROSTRUCTURE OF CEMENT PASTE INCLUDING RECYCLED CONCRETE POWDER,RCP 20 (20%),20 wt%,Mechanical Activation,Milled at high speed,56.9 MPa (Compressive) / 3.8 MPa (Flexural)
7,PROPERTIES AND MICROSTRUCTURE OF CEMENT PASTE INCLUDING RECYCLED CONCRETE POWDER,RCP 25 (25%),25 wt%,Mechanical Activation,Milled at high speed,50.1 MPa (Compressive) / 3.3 MPa (Flexural)
8,Influence of increasing amount of recycled concrete powder on mechanical properties of cement paste,CEM (ref),0 wt.%,,,Compressive: 76.6 MPa; Flexural: 3.0 MPa
8,Influence of increasing amount of recycled concrete powder on mechanical properties of cement paste,RCP 10,10 wt.%,Mechanical activation (milling),High speed mill,Compressive: 50.2 MPa; Flexural: 4.2 MPa
8,Influence of increasing amount of recycled concrete powder on mechanical properties of cement paste,RCP 20,20 wt.%,Mechanical activation (milling),High speed mill,Compressive: 56.9 MPa; Flexural: 3.8 MPa
8,Influence of increasing amount of recycled concrete powder on mechanical properties of cement paste,RCP 30,30 wt.%,Mechanical activation (milling),High speed mill,Compressive: 45.7 MPa; Flexural: 2.8 MPa
8,Influence of increasing amount of recycled concrete powder on mechanical properties of cement paste,RCP 40,40 wt.%,Mechanical activation (milling),High speed mill,Compressive: 38.8 MPa; Flexural: 2.9 MPa
8,Influence of increasing amount of recycled concrete powder on mechanical properties of cement paste,RCP 50,50 wt.%,Mechanical activation (milling),High speed mill,Compressive: 25.4 MPa; Flexural: 3.5 MPa
9,Recycled cement,OPC,0%,,Control Mix,"1D: ~8 MPa, 7D: ~28 MPa, 28D: ~35.5 MPa"
9,Recycled cement,#1,100%,Thermal,Burn Temperature: 120 °C; Passed Sieve: 150 mm,"1D: ~1 MPa, 7D: ~4 MPa, 28D: ~5 MPa"
9,Recycled cement,#2,100%,Thermal,Burn Temperature: 450 °C; Passed Sieve: 150 mm,"1D: ~4 MPa, 7D: ~27 MPa, 28D: ~35 MPa"
9,Recycled cement,#3,100%,Thermal,Burn Temperature: 750 °C; Passed Sieve: 150 mm,"1D: ~1 MPa, 7D: ~14 MPa, 28D: ~21.5 MPa"
9,Recycled cement,#4,100%,Thermal,Burn Temperature: 1100 °C; Passed Sieve: 150 mm,"1D: ~1 MPa, 7D: ~1.5 MPa, 28D: ~4.5 MPa"
9,Recycled cement,#5,100%,Thermal,Burn Temperature: 450 °C; Passed Sieve: 300 mm,"1D: ~10 MPa, 7D: ~23 MPa, 28D: ~32.5 MPa"
9,Recycled cement,#6,70%,Thermal,Burn Temperature: 450 °C; Passed Sieve: 300 mm; 30% GGBS added,"1D: ~7 MPa, 7D: ~28 MPa, 28D: ~38 MPa"
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-0%RP (NC) (w/b 0.4),0%,,w/b = 0.4,~48.5 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-15%RP (w/b 0.4),15%,,w/b = 0.4,~47.3 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-30%RP (w/b 0.4),30%,,w/b = 0.4,~44.8 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-45%RP (w/b 0.4),45%,,w/b = 0.4,~38.3 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-15%RP+15%FA (w/b 0.4),15% RP + 15% Fly Ash,,w/b = 0.4,~45.0 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-0%RP (NC) (w/b 0.5),0%,,w/b = 0.5,~34.0 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-15%RP (w/b 0.5),15%,,w/b = 0.5,~36.0 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-30%RP (w/b 0.5),30%,,w/b = 0.5,~33.0 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-45%RP (w/b 0.5),45%,,w/b = 0.5,~25.4 MPa
10,Mechanical properties of concrete mixed with recycled powder produced from construction and demolition waste,RPC-15%RP+15%FA (w/b 0.5),15% RP + 15% Fly Ash,,w/b = 0.5,~35.5 MPa
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 1,25%,Thermal & Mechanical,Calcination: 350 °C for 40 min; Grinding: 15 min,~30.0 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 2,25%,Thermal & Mechanical,Calcination: 350 °C for 80 min; Grinding: 15 min,~32.0 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 3,25%,Thermal & Mechanical,Calcination: 650 °C for 40 min; Grinding: 15 min,~43.0 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 4,25%,Thermal & Mechanical,Calcination: 650 °C for 80 min; Grinding: 15 min,~44.0 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 5,25%,Thermal & Mechanical,Calcination: 288 °C for 60 min; Grinding: 15 min,~29.5 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 6,25%,Thermal & Mechanical,Calcination: 712 °C for 60 min; Grinding: 15 min,~41.5 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 7,25%,Thermal & Mechanical,Calcination: 500 °C for 30 min; Grinding: 15 min,~34.0 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 8,25%,Thermal & Mechanical,Calcination: 500 °C for 90 min; Grinding: 15 min,~38.0 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 9,25%,Thermal & Mechanical,Calcination: 500 °C for 60 min; Grinding: 15 min,~36.2 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 10,25%,Thermal & Mechanical,Calcination: 500 °C for 60 min; Grinding: 15 min,~36.2 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 11 (Control),0%,,Standard Portland cement mortar mix,~41.0 MPa (Graph-derived)
11,The Properties of Composites with Recycled Cement Mortar Used as a Supplementary Cementitious Material,Series 12 (Control),25%,Mechanical only (No Thermal),Untreated raw RCM; Grinding: 15 min,~24.0 MPa (Graph-derived)
12,Construction and demolition waste as partial cement replacement,CTL,0%,,,"Compressive Strength:
7 d: 45.3 +/- 1.3 MPa
28 d: 54.6 +/- 1.2 MPa
90 d: 60.3 +/- 2.9 MPa"
12,Construction and demolition waste as partial cement replacement,CDWg5,5%,,Ground in a ball mill for 80 h,"Compressive Strength:
7 d: 42.1 +/- 0.8 MPa
28 d: 49.4 +/- 0.4 MPa
90 d: 55.5 +/- 1.8 MPa"
12,Construction and demolition waste as partial cement replacement,CDWg10,10%,,Ground in a ball mill for 80 h,"Compressive Strength:
7 d: 37.5 +/- 0.8 MPa
28 d: 45.7 +/- 1.7 MPa
90 d: 54.1 +/- 1.7 MPa"
13,Rheological and Mechanical Properties of Ultra-High-Performance Concrete Containing Fine Recycled Concrete Aggregates,N100R0,0 wt.% fine RCA,,w/b: 0.18,177.13 MPa
13,Rheological and Mechanical Properties of Ultra-High-Performance Concrete Containing Fine Recycled Concrete Aggregates,N80R20,20 wt.% fine RCA,,w/b: 0.18,179.78 MPa
13,Rheological and Mechanical Properties of Ultra-High-Performance Concrete Containing Fine Recycled Concrete Aggregates,N60R40,40 wt.% fine RCA,,w/b: 0.18,184.26 MPa
13,Rheological and Mechanical Properties of Ultra-High-Performance Concrete Containing Fine Recycled Concrete Aggregates,N40R60,60 wt.% fine RCA,,w/b: 0.18,180.32 MPa
13,Rheological and Mechanical Properties of Ultra-High-Performance Concrete Containing Fine Recycled Concrete Aggregates,N20R80,80 wt.% fine RCA,,w/b: 0.18,177.30 MPa
13,Rheological and Mechanical Properties of Ultra-High-Performance Concrete Containing Fine Recycled Concrete Aggregates,N0R100,100 wt.% fine RCA,,w/b: 0.18,173.05 MPa
14,Investigation of recycled powder as supplementary cementitious material,Control mix,0%,,w/b = 0.5,28 d Compressive Strength: ~63.7 MPa [GRAPH-DERIVED from Fig. 5]
14,Investigation of recycled powder as supplementary cementitious material,FA,30% (Fly ash),,w/b = 0.5,28 d Compressive Strength: ~45.7 MPa [GRAPH-DERIVED from Fig. 5]
14,Investigation of recycled powder as supplementary cementitious material,SS,30% (Standard sand),,w/b = 0.5,28 d Compressive Strength: ~31.3 MPa [GRAPH-DERIVED from Fig. 5]
14,Investigation of recycled powder as supplementary cementitious material,GS,30% (Ground sand),,w/b = 0.5,28 d Compressive Strength: ~40.8 MPa [GRAPH-DERIVED from Fig. 5]
14,Investigation of recycled powder as supplementary cementitious material,RP,30% (Recycled powder),,w/b = 0.5,28 d Compressive Strength: ~45.4 MPa [GRAPH-DERIVED from Fig. 5]
14,Investigation of recycled powder as supplementary cementitious material,NaOH-0,30% (Recycled powder),,w/b = 0.5,See NaOH-0 trends in Fig. 10
14,Investigation of recycled powder as supplementary cementitious material,NaOH-1,30% (Recycled powder),0.5% NaOH by mass of RP,w/b = 0.5,See NaOH-1 trends in Fig. 10
14,Investigation of recycled powder as supplementary cementitious material,NaOH-2,30% (Recycled powder),1.0% NaOH by mass of RP,w/b = 0.5,See NaOH-2 trends in Fig. 10
14,Investigation of recycled powder as supplementary cementitious material,NaOH-3,30% (Recycled powder),1.5% NaOH by mass of RP,w/b = 0.5,See NaOH-3 trends in Fig. 10
14,Investigation of recycled powder as supplementary cementitious material,NaOH-4,30% (Recycled powder),2.0% NaOH by mass of RP,w/b = 0.5,See NaOH-4 trends in Fig. 10
14,Investigation of recycled powder as supplementary cementitious material,CaO-0,30% (Recycled powder),,w/b = 0.5,See CaO-0 trends in Fig. 12
14,Investigation of recycled powder as supplementary cementitious material,CaO-1,30% (Recycled powder),3% CaO by mass of RP,w/b = 0.5,See CaO-1 trends in Fig. 12
14,Investigation of recycled powder as supplementary cementitious material,CaO-2,30% (Recycled powder),6% CaO by mass of RP,w/b = 0.5,See CaO-2 trends in Fig. 12
14,Investigation of recycled powder as supplementary cementitious material,CaO-3,30% (Recycled powder),9% CaO by mass of RP,w/b = 0.5,See CaO-3 trends in Fig. 12
14,Investigation of recycled powder as supplementary cementitious material,CaO-4,30% (Recycled powder),12% CaO by mass of RP,w/b = 0.5,See CaO-4 trends in Fig. 12
14,Investigation of recycled powder as supplementary cementitious material,Na2SO4-0,30% (Recycled powder),,w/b = 0.5,See Na2SO4-0 trends in Fig. 13
14,Investigation of recycled powder as supplementary cementitious material,Na2SO4-1,30% (Recycled powder),0.5% Na2SO4 by mass of RP,w/b = 0.5,See Na2SO4-1 trends in Fig. 13
14,Investigation of recycled powder as supplementary cementitious material,Na2SO4-2,30% (Recycled powder),1.0% Na2SO4 by mass of RP,w/b = 0.5,See Na2SO4-2 trends in Fig. 13
