paper_id,Paper Title,Authors,Journal Name,Publication Year,DOI (Digital Object Identifier),Material Type::Extracted Value,Material Type::Unit,Source Material::Extracted Value,Source Material::Unit,RCF/RCP Processing Method::Extracted Value,RCF/RCP Processing Method::Unit,RCF/RCP Processing Parameters::Extracted Value,RCF/RCP Processing Parameters::Unit,Activation Method::Extracted Value,Activation Method::Unit,Activation Parameters::Extracted Value,Activation Parameters::Unit,Carbonation Conditions::Extracted Value,Carbonation Conditions::Unit,Thermal Treatment Temperature::Extracted Value,Thermal Treatment Temperature::Unit,Thermal Treatment Duration::Extracted Value,Thermal Treatment Duration::Unit,Mechanical Activation Method::Extracted Value,Mechanical Activation Method::Unit,Grinding Duration::Extracted Value,Grinding Duration::Unit,Grinding Speed::Extracted Value,Grinding Speed::Unit,Other Activation Conditions::Extracted Value,Other Activation Conditions::Unit,Water-to-Binder Ratio (w/b)::Extracted Value,Water-to-Binder Ratio (w/b)::Unit,Particle Size Distribution::Extracted Value,Particle Size Distribution::Unit,d10::Extracted Value,d10::Unit,d50::Extracted Value,d50::Unit,d90::Extracted Value,d90::Unit,Mean Particle Size::Extracted Value,Mean Particle Size::Unit,Specific Surface Area::Extracted Value,Specific Surface Area::Unit,BET Surface Area::Extracted Value,BET Surface Area::Unit,Blaine Fineness::Extracted Value,Blaine Fineness::Unit,Water Absorption Capacity::Extracted Value,Water Absorption Capacity::Unit,Specific Gravity::Extracted Value,Specific Gravity::Unit,Bulk Density::Extracted Value,Bulk Density::Unit,SiO2::Extracted Value,SiO2::Unit,CaO::Extracted Value,CaO::Unit,Al2O3::Extracted Value,Al2O3::Unit,Fe2O3::Extracted Value,Fe2O3::Unit,MgO::Extracted Value,MgO::Unit,SO3::Extracted Value,SO3::Unit,Na2O::Extracted Value,Na2O::Unit,K2O::Extracted Value,K2O::Unit,Loss on Ignition (LOI)::Extracted Value,Loss on Ignition (LOI)::Unit,Other Reported Oxides::Extracted Value,Other Reported Oxides::Unit,XRD Phases::Extracted Value,XRD Phases::Unit,Mineral Composition::Extracted Value,Mineral Composition::Unit,Amorphous Content::Extracted Value,Amorphous Content::Unit,Pozzolanic Reactivity::Extracted Value,Pozzolanic Reactivity::Unit,Pozzolanic Activity Index::Extracted Value,Pozzolanic Activity Index::Unit,Strength Activity Index::Extracted Value,Strength Activity Index::Unit,Heat Release Data::Extracted Value,Heat Release Data::Unit,Other Reactivity Indicators::Extracted Value,Other Reactivity Indicators::Unit,Cement Replacement Level(s)::Extracted Value,Cement Replacement Level(s)::Unit,Optimum Replacement Level of Cement with RCF/RCP::Extracted Value,Optimum Replacement Level of Cement with RCF/RCP::Unit,Compressive Strength::Extracted Value,Compressive Strength::Unit,Relative Compressive Strength (% of control if reported)::Extracted Value,Relative Compressive Strength (% of control if reported)::Unit,7-Day Heat Release::Extracted Value,7-Day Heat Release::Unit,Relative Heat Release (% of control if reported)::Extracted Value,Relative Heat Release (% of control if reported)::Unit,Initial Setting Time::Extracted Value,Initial Setting Time::Unit,Final Setting Time::Extracted Value,Final Setting Time::Unit,Flexural Strength::Extracted Value,Flexural Strength::Unit,Relative Flexural Strength (% of control if reported)::Extracted Value,Relative Flexural Strength (% of control if reported)::Unit,Shrinkage::Extracted Value,Shrinkage::Unit,Relative Shrinkage (% of control if reported)::Extracted Value,Relative Shrinkage (% of control if reported)::Unit
31,CO2 mineralization of demolished concrete wastes into a supplementary cementitious material – a new CCU approach for the cement industry,"Maciej Zajac, Jan Skocek, Jørgen Skibsted, Mohsen Ben Haha",RILEM Technical Letters,2021,https://doi.org/10.21809/rilemtechlett.2021.141,"Recycled concrete paste (RCP), carbonated RCP (cRCP)",,Demolished concrete,,"Advanced recycling and separation technologies (such as SmartCrusher, Advanced Dry Recovery (ADR), or vertical rolled soft milling followed by separation)",,10 kWh/t energy consumption (conservative estimate for advanced recycling),kWh/t,Wet carbonation / Aqueous mineralization,,20 kWh/t energy consumption for re-carbonation,kWh/t,"Ambient temperature and pressure, < 10% CO2 gas concentration (specifically 10% CO2 / 90% N2 gas flow at 10 L/hr/1g cement at T = 20°C and normal pressure)",,,,,,,,,,,,Wet carbonation reaction time of 360 min. / 2 hours / 30 minutes,min. / hours,,,,,,,,,,,,,150,m²/(g gel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calcite, Amorphous phase",,"Calcium carbonate, Amorphous alumina-silica gel",,,,Very rapid pozzolanic reaction / Rapid strength gain,,,,,,,,"Portlandite consumption of CH-cRCP_I: ~46.5% at 1 day, ~50% at 2 days, ~51% at 7 days, ~53% at 28 days, ~54.5% at 90 days. CH-cRCP_III: ~50% at 1 day, ~58.5% at 2 days, ~61% at 7 days, ~62.5% at 28 days, ~64% at 90 days.",%,40% (also general ranges of 20-40% cited),%,,,"CEM-cRCP_I:
1d: ~10 MPa
2d: ~19 MPa
7d: ~40 MPa
28d: ~48 MPa
90d: ~50 MPa

CEM-cRCP_III:
1d: ~10.5 MPa
2d: ~20 MPa
7d: ~42 MPa
28d: ~51 MPa
90d: ~55 MPa",MPa,,,,,,,,,,,,,,,,,,
32,Evaluation of waste concrete recycled powder (WCRP) on the preparation of low-exothermic cement,"Xi Chen, Ying Li, Zheyu Zhu, Liyuan Ma",Journal of Building Engineering,2022,https://doi.org/10.1016/j.jobe.2022.104511,Waste Concrete Recycled Powder (WCRP),,Waste concrete beam from Xining railway traffic engineering project,,"Crushed by jaw crusher, screened, and pulverized by planetary ball mill",,Pulverized for 30 min,min,Mechanical activation (grinding),,,,,,,,,,Planetary ball mill,,30,min,,,,,0.45,,"<2 µm: 1.51%, <5 µm: 12.77%, <10 µm: 25.91%, <20 µm: 42.92%, <30 µm: 53.57%, <50 µm: 73.71%, <70 µm: 85.00%, <90 µm: 90.96%, <100 µm: 100%",%,,,,,,,42.60,µm,467,m²/Kg,,,,,High / Strong water absorption,,2355,Kg/m³,856,Kg/m³,27.8,%,29.1,%,6.70,%,2.73,%,4.49,%,1.11,%,,,,,,,CO₂: 25.7,%,"CH, SiO₂, C₂S, C₃S, CaCO₃, C–S–H, CaO, AFt",,"SiO₂, CaCO₃, C–S–H gel, Ca(OH)₂, C₂S, C₃S",,,,Potential pozzolanic activity,,,,,,,,,,"10, 20, 30, 40",%,15 (in synergy with 15% FA+SF),%,"(J0): ~31.7
(J1): ~29.58
(J2): ~24.0
(J3): ~22.5
(J4): ~18.2
(JF12): ~36.0",MPa,"(J1): ~91.83% of control
(J4): ~57.22% of control
(JF12): 113.41% of control",%,,,,,"(J0): ~2.6
(J1): ~2.36
(J2): ~2.9
(J3): ~3.1
(J4): ~3.3",h,"(J0): ~4.9
(J1): ~5.29
(J2): ~5.6
(J3): ~6.0
(J4): ~6.1",h,,,,,,,,
33,Developing circular concrete: Acid treatment of waste concrete fines,"Tiejun Ding, Hong Wong, Xiuchen Qiao, Christopher Cheeseman",Journal of Cleaner Production,2022,https://doi.org/10.1016/j.jclepro.2022.132615,Silica-rich residue (produced by acid leaching of waste concrete fines),,Waste concrete fines,,"Centrifuged, vacuum filtered, washed, dried, and ground",,Centrifugation speed: 3000; Centrifugation duration: 5; Drying temperature: 50; Grinding sieve size: 150,rpm; min; °C; µm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.79,%,3.28,%,18.37,%,6.07,%,,%,,%,,%,,%,10.9,%,,,"Quartz, albite, illite",,,,55.1,%,88.9,%,,,,,,,,,30,%,,,,,,,,,,,,,,,,,,,,,,
34,Role of recycled concrete powder as sand replacement in the properties of cement mortar,"Yuan Jiang, Bo Li, Shu Liu, Jun He, Alvaro Garcia Hernandez",Journal of Cleaner Production,2022,https://doi.org/10.1016/j.jclepro.2022.133424,"Recycled concrete powder (RCP), including recycled cement paste powder (RCPP) and recycled cement mortar powder (RCMP)",,Hydrated cement paste or mortar prepared in the laboratory,,Crushing and grinding followed by mechanical sieving and oven-drying,,Grain size smaller than 150 μm; Preserved for at least 90 days before crushing,,,,,,,,,,,,,,,,,,,,,,Figure 1,,,,31.427 (RCPP-W4); 34.629 (RCPP-W5); 31.533 (RCPP-W6); 42.823 (RCMP-W5),μm,,,,,,,,,,,,,2.42 (RCPP-W4); 2.36 (RCPP-W5); 2.32 (RCPP-W6); 2.52 (RCMP-W5),,,,,,,,,,,,,,,,,,,,,,,,"Portlandite, calcite, ettringite, belite",,,,,,Low reactivity,,,,,,Cumulative hydration heat of RCMP is approximately 7% of that of OPC,%,Exothermic peak and cumulative hydration heat curves of raw materials,,,%,,%,"Figure 8 (7, 28, 56 days for all mixes)",MPa,,%,"4.7%, 5.8%, 9.7%, 10.9% higher than reference for RCMP-W5, RCPP-W5, RCPP-W6, RCPP-W4 respectively (at 10% replacement)",%,"104.7% (RCMP-W5-10%), 105.8% (RCPP-W5-10%), 109.7% (RCPP-W6-10%), 110.9% (RCPP-W4-10%)",%,,min,,min,"Figure 9 (7, 28, 56 days for all mixes); 56-day flexural strength of RCPP-W5-30% is 19.5% lower than RCPP-W5-10%",MPa,56-day flexural strength reduction is limited by up to 11% at 30% replacement for RCPP mortars,%,"56-day drying shrinkage increased by 53%, 84%, 110% for 10%, 20%, 30% RCPP-W6 replacement",%,"153% (RCPP-W6-10%), 184% (RCPP-W6-20%), 210% (RCPP-W6-30%) compared to reference; RCMP-W5-30% is around 30% lower than RCPP-W6-30%",%
35,Closed-loop recycling of C&D waste: Mechanical properties of concrete with the repeatedly recycled C&D powder as partial cement replacement,"Jeonghyun Kim, Haneol Jang",Journal Cleaner Production,2022,https://doi.org/10.1016/j.jclepro.2022.130977,"Once-, twice-, three times-recycled concrete powder",,Concrete waste (recycled aggregate and powder by-products),,Primary crushing followed by secondary ball milling and size classification,,Particle size of less than 150 µm,µm,,,,,,,,,,,,,,,,,,,0.45,,Less than 150 µm,µm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low chemical reactivity,,"10%, 20%, 30%",%,20%,%,"• RPC1-10%: ~37.6
• RPC1-20%: ~35.3
• RPC1-30%: ~29.3
• RPC2-10%: ~37.0
• RPC2-20%: ~33.5
• RPC2-30%: ~28.5
• RPC3-10%: ~36.0
• RPC3-20%: ~33.0
• RPC3-30%: ~27.2",MPa,"• RPC1-10%: ~99% (or 0.99)
• RPC1-20%: ~93% (or 0.93)
• RPC1-30%: ~71% (or 0.71)
• RPC2-10%: ~97% (or 0.97)
• RPC2-20%: ~89% (or 0.89)
• RPC2-30%: ~71% (or 0.71)
• RPC3-10%: ~93% (or 0.93)
• RPC3-20%: ~86% (or 0.86)
• RPC3-30%: ~72% (or 0.72)",%,,,,,,,,,,,,,,,,
36,"Recycled concrete fine powder (RFP) as cement partial replacement: Influences on the physical properties, hydration characteristics, and microstructure of blended cement","Zhong Li, Yadong Bian, Jihui Zhao, Yiren Wang, Zhenxia Yuan",Journal of Building Engineering,2022,https://doi.org/10.1016/j.jobe.2022.105326,Recycled concrete fine powder (RFP),,Local waste concrete,,"Crushed, sieved, and ground in a ball mill",,Sieved by 0.63 mm sieves,mm,Mechanical activation (ball milling),,,,,,,,,,Ball milling,,60,min,,,,,0.5,,Median particle size of 22.7,µm,,,22.7,µm,,,22.7,µm,,,,,,,,,,,,,60.3,%,17.4,%,10.4,%,3,%,3.4,%,0.7,%,2.1,%,,,,,,,"SiO2, hydrated calcium silicate (C-S-H), CaCO3",,"SiO2, hydrated calcium silicate (C-S-H), CaCO3",,,,Volcanic ash properties,,,,,,,,,,"0%, 10%, 30%, 50%, 70%, 90%",%,10,%,"3d: 21.0
* 28d: 43.9

* 3d: 24.7
* 28d: 43.5

* 3d: 19.1
* 28d: 33.3

* 3d: 11.5
* 28d: 20.5",MPa,10% RFP at 3d: 117.62,%,,,,,"0% RFP: 118
* 10% RFP: 99",min,"0% RFP: 159
* 10% RFP: 149",min,"3d: 5.4
* 7d: 7.3
* 28d: 8.6

* 3d: 5.7
* 7d: 6.6
* 28d: 7.3

* 3d: 4.5
* 7d: 4.7
* 28d: 6.7

* 3d: 3.5
* 7d: 3.6
* 28d: 5.4",MPa,10% RFP at 3d: 105.56,%,,,,
37,Effect of Recycled Mixed Powder on the Mechanical Properties and Microstructure of Concrete,"Chao Liu, Huawei Liu and Jian Wu",Journal of Renewable Materials,2022,10.32604/jrm.2022.018386,Recycled mixed powder (RMP) consisting of recycled brick powder (RBP) and recycled concrete powder (RCP),,Waste clay bricks and waste concrete containing coarse aggregates,,Crushing using a jaw crusher followed by grinding in a horizontal ball mill,,"Jaw crusher feed size <=80 mm, discharge size 5-25 mm; ball mill type 50-2000L with max feed size 10 mm; final RBP and RCP particle size controlled below 0.16 mm",,Mechanical activation,,,,,,,,,,Ball mill grinding,,10 min for RBP; 30 min for RCP,min,,,,,,,"Content below 10 um: 33.81% (RBP), 39.46% (RCP); Content below 45 um: 82.13% (RBP), 73.69% (RCP)",%,,,Median particle size: 18.56 (RBP); 17.15 (RCP),um,,,Average volume particle size: 25.89 (RBP); 29.99 (RCP),um,,,,,424 (RBP); 457 (RCP),m^2/kg,,,2.62 (RBP); 2.56 (RCP),g/cm^3,,,63.47 (RBP); 30.20 (RCP),%,1.84 (RBP); 42.66 (RCP),%,17.51 (RBP); 7.81 (RCP),%,8.26 (RBP); 3.05 (RCP),%,1.19 (RBP); 2.14 (RCP),%,0.13 (RBP); 0.45 (RCP),%,,,2.85 (RBP); 1.43 (RCP),%,,,,,"Quartz (SiO2), feldspar, hematite for RBP; Calcite (CaCO3), SiO2, calcium hydroxide (CH), unreacted C2S for RCP",,,,,,Favorable volcanic ash activity for RBP; lower volcanic ash activity for RCP compared to RBP,,,,,,,,Water demand ratio: 104 (RBP); 103 (RCP),%,"0, 15, 30, 45",%,15,%,"0% control: ~29.1 (7d), ~33.6 (28d)
15% (8:2): ~25.7 (7d), ~30.5 (28d)
15% (6:4): ~27.4 (7d), ~35.0 (28d)
30% (8:2): ~20.0 (7d), ~27.0 (28d)
30% (6:4): ~22.5 (7d), ~28.2 (28d)
45% (8:2): ~19.2 (7d), ~21.2 (28d)
45% (6:4): ~20.3 (7d), ~24.2 (28d) (GRAPH-DERIVED)",MPa,"15% (6:4): decreased by 5.8% at 7d (94.2% of control), increased by 4.2% at 28d (104.2% of control);
15% (8:2): reduced by 11.5% at 7d (88.5% of control), reduced by 9.4% at 28d (90.6% of control)",%,,,,,,,,,,,,,,,,
38,Economical and eco-friendly masonry mortar containing waste concrete powder as a supplementary cementitious material,"Eric A. Ohemeng, Stephen O. Ekolu, Harry Quainoo, Abdolhossein Naghizadeh",Case Studies in Construction Materials,2022,https://doi.org/10.1016/j.cscm.2022.e01527,Waste Concrete Powder (WCP),,Waste concrete,,"Hammer fragmentation, sieving, ball mill grinding, and sifting",,"0.30 mm and 75 μm sieves, ball mill",,,,,,,,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,2817.30,cm²/g,,,2.61,g/cm³,,,34.82,wt%,24.48,wt%,8.52,wt%,6.99,wt%,3.19,wt%,0.21,wt%,1.66,wt%,0.81,wt%,17.89,wt%,"MnO = 0.26, P₂O₅ = 0.08, TiO₂ = 0.56",wt%,,,,,,,,,,,,,,,,,"0, 15, 30, 40, 60, 75, 100",%,40-75,%,"0% Replacement: 39.7
15% Replacement: 34.6
30% Replacement: 26.8
40% Replacement: 20.1
60% Replacement: 15.8
75% Replacement: 5.8
100% Replacement: 1.6",MPa,,,,,,,"0% Replacement: 266
15% Replacement: 275
30% Replacement: 287
40% Replacement: 300
60% Replacement: 321
75% Replacement: 345",min,"0% Replacement: 425
15% Replacement: 455
30% Replacement: 496
40% Replacement: 520
60% Replacement: 565
75% Replacement: 590",min,"0% Replacement: 8.2
15% Replacement: 7.9
30% Replacement: 6.6
40% Replacement: 5.6
60% Replacement: 4.2
75% Replacement: 1.4",MPa,,,"0% Replacement: 0.053
75% Replacement: 0.036",%,,
39,Eco-friendly treatment of recycled concrete fines as supplementary cementitious materials,"Liang Wang, Jialai Wang, Hao Wang, Yi Fang, Wenfeng Shen, Peiyuan Chen, Ying Xu",Construction and Building Materials,2022,10.1016/j.conbuildmat.2022.126491,Recycled concrete fines (RCFs) / Recycled Concrete Powder (RCP),,Crushed waste concrete,,Crushing and sieving,,Particle size less than 165 µm,µm,Chemical treatment using Tannic acid (TA) solution,,"TA solution concentrations: 0.1%, 0.3%, 0.5%, 0.75%, and 1%; Immersion/mixing duration: 60 min",% / min,,,,,,,,,,,,,,,0.5,,Size less than 165 µm,µm,,,5,µm,,,,,,,,,,,,,,,,,33.4,wt.%,44.9,wt.%,8.4,wt.%,1,wt.%,5.4,wt.%,,,,,1.7,wt.%,,,TiO2: 0.6; Others: 4.6,wt.%,"Quartz, calcium hydroxide (CH), calcite, and dolomite",,,,C-S-H is mainly amorphous,,Low pozzolanic activity,,,,,,,,,,"5%, 10%, 15%, 20%",%,10% or 15%,%,"Control: 19.97 (3d), 26.64 (7d), 39.17 (28d)",MPa,"At 3d:
- 5% replacement: ~95.9% to 102.7%
- 10% replacement: ~84.6% to 101.1%
- 15% replacement: ~88.5% to 106.3%
- 20% replacement: ~68.1% to 108.0%

At 7d:
- 5% replacement: ~94.5% to 101.4%
- 10% replacement: ~96.5% to 123.4%
- 15% replacement: ~104.3% to 107.7%
- 20% replacement: ~105.6% to 110.5%

At 28d:
- 5% replacement: ~91.2% to 100.0%
- 10% replacement (untreated to 1% TA): 100.0% (untreated), 112.2% (0.1% TA), 125.6% (0.3% TA), 126.3% (0.5% TA), 117.3% (0.75% TA), 113.1% (1.0% TA)
- 15% replacement (untreated to 1% TA): 100.0% (untreated), 114.7% (0.1% TA), 121.2% (0.3% TA), 126.5% (0.5% TA), 126.3% (0.75% TA), 118.2% (1.0% TA)
- 20% replacement: ~92.9% to 104.8%",%,,,,,,,,,,,,,,,,
40,High-temperature CO2 for accelerating the carbonation of recycled concrete fines,"Yuqing Wu, Hamideh Mehdizadeh, Kim Hung Mo, Tung-Chai Ling",Journal of Building Engineering,2022,https://doi.org/10.1016/j.jobe.2022.104526,Recycled concrete fines (RCF),,42.5 CEM I cement paste,,"Cured in water, crushed, and ground",,Size of less than 150 µm,µm,High-temperature carbonation,,"Moisture additions, flue gas simulation",,"20% CO2 concentration, 30 min duration, 5%–10% humidity",,"20, 60, 100, 140",°C,30,min,,,,,,,,,0.4,,,,,,,,,,Less than 150,µm,Non-carbonated: 10.696; 20°C: 13.589; 60°C: 32.697; 100°C: 40.867; 140°C: 20.383,m²/g,Non-carbonated: 10.696; 20°C: 13.589; 60°C: 32.697; 100°C: 40.867; 140°C: 20.383,m²/g,,,,,,,,,19.63,wt.%,64.52,wt.%,5.43,wt.%,3.21,wt.%,2.15,wt.%,2.84,wt.%,0.52,wt.%,0.58,wt.%,,,,,"Portlandite, Calcite, Dicalcium silicate (C2S), Tricalcium silicate (C3S)",,"Portlandite, Calcite, C2S, C3S",,Non-carbonated: ~57; 20°C: ~57; 60°C: ~55; 100°C: ~45; 140°C: ~52 (GRAPH-DERIVED),wt.%,Pozzolanic reaction consuming CH,,,,"1-Day (20°C: ~90, 60°C: ~105, 100°C: ~106, 140°C: ~104); 3-Day (20°C: ~89, 60°C: ~109.7, 100°C: ~112.6, 140°C: ~102.9); 28-Day (20°C: ~78.5, 60°C: 88.9, 100°C: 97.9, 140°C: 95.6) (GRAPH-DERIVED)",%,"72h Cumulative: 20°C (295), 60°C (304), 100°C (337), 140°C (298)",J·g⁻¹ cement,,,20%,%,20%,%,,MPa,"3-Day: 20°C (~89%), 60°C (109.7%), 100°C (112.6%), 140°C (102.9%); 28-Day: 20°C (~78.5%), 60°C (88.9%), 100°C (97.9%), 140°C (95.6%)",%,,J·g⁻¹ cement,"72h Cumulative: 20°C (~84%), 60°C (~87%), 100°C (~96%), 140°C (~85%) (GRAPH-DERIVED)",%,Pure Paste: 150; 20°C: 190; 60°C: 175; 100°C: 140; 140°C: 155,min,Pure Paste: 210; 20°C: 250; 60°C: 225; 100°C: 200; 140°C: 205,min,,MPa,,%,,mm or µε,,%
41,Early-age behavior and mechanical properties of cement-based materials with various types and fineness of recycled powder,"Huixia Wu, Chaofeng Liang, Jianzhuang Xiao, Jianguang Xu, Zhiming Ma",Structural Concrete,2022,10.1002/suco.202000834,"Recycled powder (RP) including recycled paste powder (RPP), recycled mortar powder (RMP), and recycled concrete powder (RCP)",,"Hardened cement paste, demolished mortar waste, and crushed concrete waste",,Crushing by jaw crusher followed by ball milling,,"Water-to-cement ratio of original samples = 0.50, cured for 1 year, vacuum dried at 50°C for 72 h",,,,,,,,,,,,Grinding duration adjustment in ball mills,,,,,,,,0.50,,,,,,"Fine RPP: 11.6
Medium RPP: 24.7
Coarse RPP: 124.4
Fine RMP: 10.2
Medium RMP: 26.6
Coarse RMP: 116.3
Fine RCP: 12.4
Medium RCP: 23.5
Coarse RCP: 103.6",μm,,,,,,,,,,,,,,,,,"RPP: ~22% (GRAPH-DERIVED)
RMP: ~70% (GRAPH-DERIVED)
RCP: ~31% (GRAPH-DERIVED)",%,"RPP: ~62% (GRAPH-DERIVED)
RMP: ~22% (GRAPH-DERIVED)
RCP: ~55% (GRAPH-DERIVED)",%,"RPP: ~6% (GRAPH-DERIVED)
RMP: ~3% (GRAPH-DERIVED)
RCP: ~3% (GRAPH-DERIVED)",%,"RPP: ~4% (GRAPH-DERIVED)
RMP: ~2% (GRAPH-DERIVED)
RCP: ~2% (GRAPH-DERIVED)",%,"RPP: ~4% (GRAPH-DERIVED)
RMP: ~1% (GRAPH-DERIVED)
RCP: ~6% (GRAPH-DERIVED)",%,,,,,,,,,,,"CH, Calcite, Quartz, AFt",,"Quartz, Calcite, Calcium Hydroxide (CH), AFt, C-S-H gel",,,,CONSUMPTION OF CH INDICATED BY XRD/FTIR/DTG,,,,"Fine RPP: 72.4%
Medium RPP: 71.6%
Coarse RPP: 64.0%
Fine RMP: 78.9%
Medium RMP: 77.0%
Coarse RMP: 65.2%
Fine RCP: 77.8%
Medium RCP: 76.3%
Coarse RCP: 64.9%",%,,,,,"0%, 7.5%, 15%, 30%, 45%",%,"Fine RMP: 7.5% (GRAPH-DERIVED)
Fine RCP: 7.5% (GRAPH-DERIVED)",%,"Fine RPP (7.5%): 2.6% lower
Fine RPP (45%): 40.1% lower
Coarse RPP (7.5%): 12.1% lower
Coarse RPP (45%): 50.3% lower
Fine RMP (7.5%): 2.6% higher
Fine RMP (15%): 2.3% lower
Fine RMP (30%): 21.1% lower
Fine RMP (45%): 38.1% lower
Fine RCP (7.5%): 0.8% lower
Fine RCP (15%): 6.2% lower
Fine RCP (30%): 22.2% lower
Fine RCP (45%): 37.9% lower
Coarse RCP (30%): 35.1% lower
Coarse RMP (7.5%): 7.2% lower
Coarse RMP (45%): 49.7% lower
Coarse RCP (7.5%): 9.3% lower
Coarse RCP (45%): 48.5% lower",% relative to control or MPa change,"Fine RPP (7.5%): 97.4%
Fine RPP (45%): 59.9%
Coarse RPP (7.5%): 87.9%
Coarse RPP (45%): 49.7%
Fine RMP (7.5%): 102.6%
Fine RMP (15%): 97.7%
Fine RMP (30%): 78.9%
Fine RMP (45%): 61.9%
Fine RCP (7.5%): 99.2%
Fine RCP (15%): 93.8%
Fine RCP (30%): 77.8%
Fine RCP (45%): 62.1%
Coarse RCP (30%): 64.9%
Coarse RMP (7.5%): 92.8%
Coarse RMP (45%): 50.3%
Coarse RCP (7.5%): 90.7%
Coarse RCP (45%): 51.5%",%,,,,,Initial setting time of medium RPP and coarse RPP is 13.6% and 32.3% greater than fine RPP,% change,Final setting time of medium RPP and coarse RPP is 24.2% and 38.0% higher than fine RPP,% change,,,"Fine RPP: 1 - 0.0063 × P
Coarse RPP: 1 - 0.0076 × P
Fine RMP: 1 - 0.0052 × P
Fine RCP: 1 - 0.0056 × P",%/100,"Fine RPP maximum shrinkage rate:
- 15% replacement: 2.1% greater than control
- 30% replacement: 9.0% greater than control
- 45% replacement: 16.9% greater than control
Fine RMP maximum shrinkage rate:
- 15% replacement: 5.3% lower than control
- 30% replacement: 1.8% lower than control
- 45% replacement: 9.1% higher than control
Fine RCP maximum shrinkage rate:
- 15% replacement: 2.0% lower than control
- 30% replacement: 3.4% higher than control
- 45% replacement: 8.8% higher than control
Coarse powders at 30% replacement:
- Coarse RPP: 9.8% higher than fine RPP
- Coarse RMP: 13.8% higher than fine RMP
- Coarse RCP: 7.3% higher than fine RCP",% change,"Fine RPP (15%): 102.1%
Fine RPP (30%): 109.0%
Fine RPP (45%): 116.9%
Fine RMP (15%): 94.7%
Fine RMP (30%): 98.2%
Fine RMP (45%): 109.1%
Fine RCP (15%): 98.0%
Fine RCP (30%): 103.4%
Fine RCP (45%): 108.8%
Coarse RCP (30%): 107.3%",%
42,Influence of recycled powder derived from waste concrete on mechanical and thermal properties of foam concrete,"Jianzhuang Xiao, Lucen Hao, Wanzhi Cao, Taohua Ye",Journal of Building Engineering,2022,https://doi.org/10.1016/j.jobe.2022.105203,Recycled powder (RP),,Waste concrete,,Produced in the laboratory,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,>75,µm,,,86.4,µm,,,,,,,,,,,,,57.02,wt %,21.32,wt %,10.93,wt %,3.45,wt %,2.54,wt %,1.17,wt %,,,,,,,TiO2: 0.46; Others: 3.11,wt %,"SiO2 (Quartz), CaCO3 (Calcium carbonate)",,,,,,"Total amounts of SiO2, Al2O3 and Fe2O3 of RP were 71.41%",%,,,,,,,,,"0, 10, 20, 30, 40",%,30,%,"RPFC-I 28d: ~2.0 (0%), ~1.7 (10%), ~1.5 (20%), ~1.3 (30%), ~0.9 (40%)
RPFC-II 28d: ~1.9 (0%), ~1.5 (10%), ~1.3 (20%), ~1.2 (30%), ~0.8 (40%)",MPa,"RPFC-I 28d: 100% (0% RP), 81.9% (10% RP), 73.6% (20% RP), 64.7% (30% RP), 43.2% (40% RP)
RPFC-II 28d Max Reduction: 59.7%",%,,,,,,,,,,,,,,,,
43,Effects of recycled aggregate combinations and recycled powder contents on fracture behavior of fully recycled aggregate concrete,"Jianzhuang Xiao, Yuxiang Tang, Hongniao Chen, Hanghua Zhang, Bing Xia",Journal of Cleaner Production,2022,https://doi.org/10.1016/j.jclepro.2022.132895,Recycled powder (RP),,Recycled fine aggregate (RFA) from waste concrete,,Ball milling / grinding and screening,,Grinding time: 30 min,min,Mechanical activation (grinding),,,,,,,,,,Ball milling,,30,min,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,57.01,%,21.3,%,10.93,%,3.45,%,1.82,%,1.17,%,1.58,%,2.22,%,,,TiO2: 0.45,%,,,,,,,,,,,,,,,,,"0, 10, 20, 30",%,10,%,"58.4 (for 10% RP)
56.9 (for 20% RP)
52.7 (for 30% RP)
58.3 (for 0% RP control)",MPa,,,,,,,,,,,,,,,,,,
